filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","U238(n,g)","U238(n,g)_sd","tot(n,fis)","tot(n,fis)_sd",tbr,tbr_sd,Pu239 [kg/yr],Pu239_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_FLiBe_900K_Li00.0_U238_000.00kgm3_4e6x25,0,0,0,0,0.108954928,2.01E-05,0.227206948,3.24E-05,0,0,0,0,0.108954928,2.01E-05,0,0,0.04219273,2.36E-05,1006.849627,0.121628933,0,0
tallies_FLiBe_900K_Li00.0_U238_000.10kgm3_4e6x25,0.1,0.062503236,0,0,0.108955026,2.02E-05,0.227212369,3.23E-05,0.001729975,2.63E-07,0.000192342,3.02E-08,0.108955026,2.02E-05,7.680914874,0.00116806,0.04217611,2.42E-05,1008.917013,0.122288205,2.119457186,0.000333311
tallies_FLiBe_900K_Li00.0_U238_000.50kgm3_4e6x25,0.5,0.312516178,0,0,0.108953784,1.99E-05,0.227235164,3.17E-05,0.008549645,1.48E-06,0.000955641,1.38E-07,0.108953784,1.99E-05,37.95956959,0.006578751,0.04210091,2.48E-05,1017.156601,0.117553523,10.530384,0.001522947
tallies_FLiBe_900K_Li00.0_U238_001.00kgm3_4e6x25,1,0.625032356,0,0,0.108951676,1.97E-05,0.227261481,3.19E-05,0.016858041,3.13E-06,0.001896638,2.83E-07,0.108951676,1.97E-05,74.84801373,0.013903257,0.04201189,2.81E-05,1027.325583,0.120270296,20.89928284,0.003134724
tallies_FLiBe_900K_Li00.0_U238_010.00kgm3_4e6x25,10,6.250323563,0,0,0.108904198,1.99E-05,0.227677659,3.24E-05,0.136660822,2.04E-05,0.016858727,2.18E-06,0.108904198,1.99E-05,606.760372,0.090650452,0.04082043,2.11E-05,1189.8113,0.133293794,185.7517312,0.024324784
tallies_FLiBe_900K_Li00.0_U238_025.00kgm3_4e6x25,25,15.62580891,0,0,0.10873932,1.97E-05,0.228131351,3.30E-05,0.269551948,4.61E-05,0.036471594,4.71E-06,0.10873932,1.97E-05,1196.783672,0.204563655,0.039808759,1.88E-05,1404.816959,0.139202676,401.7988958,0.051950854
tallies_FLiBe_900K_Li00.0_U238_050.00kgm3_4e6x25,50,31.25161782,0,0,0.10834276,2.08E-05,0.228500013,3.42E-05,0.415421009,7.42E-05,0.060766869,8.80E-06,0.10834276,2.08E-05,1844.427702,0.329457174,0.038644701,2.27E-05,1672.877503,0.199230872,669.3307415,0.097847981
tallies_FLiBe_900K_Li00.0_U238_075.00kgm3_4e6x25,75,46.87742672,0,0,0.107851941,2.05E-05,0.22855086,3.26E-05,0.517848709,8.62E-05,0.078498434,1.44E-05,0.107851941,2.05E-05,2299.19644,0.382547748,0.03738438,2.00E-05,1869.03815,0.274126499,864.4858165,0.16067596
tallies_FLiBe_900K_Li00.0_U238_100.00kgm3_4e6x25,100,62.50323563,0,0,0.107300696,2.06E-05,0.228405371,3.26E-05,0.597029299,0.000107693,0.091828699,2.20E-05,0.107300696,2.06E-05,2650.750335,0.478146223,0.03593883,2.09E-05,2016.546429,0.337493998,1011.108888,0.243449637
tallies_FLiBe_900K_Li00.0_U238_150.00kgm3_4e6x25,150,93.75485345,0,0,0.106075485,1.90E-05,0.227720798,3.24E-05,0.713218066,9.01E-05,0.109759648,2.36E-05,0.106075485,1.90E-05,3166.616832,0.400122438,0.03278321,2.47E-05,2214.658368,0.375068505,1208.097028,0.267161931
tallies_FLiBe_900K_Li00.0_U238_250.00kgm3_4e6x25,250,156.2580891,0,0,0.103382097,1.87E-05,0.225485281,3.07E-05,0.857064723,0.000148836,0.1268316,2.30E-05,0.103382097,1.87E-05,3805.281595,0.660817215,0.026590921,2.06E-05,2401.649754,0.342325914,1394.887172,0.255762423
tallies_FLiBe_900K_Li00.0_U238_500.00kgm3_4e6x25,500,312.5161782,0,0,0.096378859,1.59E-05,0.218647839,3.06E-05,1.027665682,0.000160567,0.13712243,3.14E-05,0.096378859,1.59E-05,4562.732778,0.712901812,0.01603094,1.59E-05,2510.390024,0.433372263,1504.773004,0.350415159
tallies_FLiBe_900K_Li00.0_U238_750.00kgm3_4e6x25,750,468.7742672,0,0,0.089565362,1.29E-05,0.211804287,2.84E-05,1.116408249,0.000157722,0.14148726,3.22E-05,0.089565362,1.29E-05,4956.740894,0.700270139,0.010485959,1.19E-05,2556.523268,0.457306885,1549.410409,0.36359691
tallies_FLiBe_900K_Li00.0_U238_999.99kgm3_4e6x25,999.99,625.026106,0,0,0.083018158,1.32E-05,0.205284101,2.63E-05,1.180282025,0.000179496,0.147884843,2.54E-05,0.083018158,1.32E-05,5240.334067,0.796943041,0.00742272,1.26E-05,2627.508082,0.378917751,1616.564665,0.29487651
