target,reaction,integral_n_per_src,mean_E_MeV,median_E_MeV,peak_E_MeV,std_dev_E_MeV,E10_MeV,E90_MeV
Be-9,"(n,2n)",0.005941337400000001,4.269397080003162,3.20184901459601,11.054615717165884,3.6039802175218965,0.37781086317558854,9.965956427442004
Pb-nat,"(n,2n)",0.007267206400000001,1.8456629555967174,1.6034711098303578,1.9462530483541987,1.2258175144239007,0.48184040062306105,3.550672805722396
U-nat,"(n,2n)",0.004258657799999999,1.9585094019071225,1.5854000423300723,1.8540789990473823,1.4848839438654085,0.49120956041976155,3.8991230462324387
Th-232,"(n,2n)",0.0044920338,1.8022341500563457,1.4297341098869965,1.666371688466961,1.4396480780159961,0.43943619675043466,3.726686934138173
Li-nat,"(n,2n)",0.00013501650000000002,2.4334660876384624,2.2719250803528293,2.7069646792041118,1.3691273739436292,0.7155876528012871,4.370046772415686
Li-60%e,"(n,2n)",6.30443e-05,2.4325189270535903,2.269815625292686,2.760012300040286,1.3678956245648766,0.7184670867206933,4.366688809543628
Li-90%e,"(n,2n)",1.6539100000000002e-05,2.4301733015464997,2.268887525204081,2.7333598025832493,1.366681912535968,0.7175760186154954,4.358174209693451
Pb-nat,"(n,n')",0.0011877617999999997,8.619646936992286,8.731210076552674,11.381153814029433,1.9584178794942442,6.015366751061882,11.293803390633826
U-nat,"(n,n')",0.0023927335000000004,12.441458861464186,13.57963012011786,13.953552517327006,2.0540077198544013,9.059032394019855,14.021123516515617
Th-232,"(n,n')",0.0017804801,11.565704962800341,12.109706339190007,13.953552517327006,2.4759124750248933,8.047705775690206,13.986715095516296
Li-nat,"(n,n')",0.0017323413999999998,5.950519809637299,5.842920508791519,9.193345461846228,3.65953753654681,1.154217519029436,11.512309475769845
Li-60%e,"(n,n')",0.0021579476,6.017237251691869,5.935406771225581,8.42452943708665,3.2134089362517657,1.6059371821917736,10.426380990834527
Li-90%e,"(n,n')",0.0024339882,6.048027624377717,5.969097736288255,7.871294338046815,2.984792951907774,1.942419484495431,10.15406421564233
U-nat,nu-fission,0.024966679999999998,2.0768249007731674,1.580984193407917,1.9274587464515414,1.7418839302326397,0.4054396674704259,4.396309681062697
Th-232,nu-fission,0.0042813569999999995,1.875419023664582,1.3616949848353845,1.6185616115001995,1.6697213191924543,0.34509360876185113,4.087822626451046
