energy_eV,"F19(n,elastic)","F19(n,absorption)","Li6(n,elastic)","Li6(n,inelastic)","Li6(n,t)","Li7(n,elastic)","Li7(n,inelastic)","Li7(n,Xt)","Be9(n,elastic)","Be9(n,absorption)","U235(n,elastic)","U235(n,inelastic)","U235(n,2n)","U235(n,gamma)","U235(n,fission)","U238(n,elastic)","U238(n,inelastic)","U238(n,2n)","U238(n,gamma)","U238(n,fission)"
1,0.177115656,7.39063828e-05,0.00108349991,0,0.214870306,0.0174970168,0,0,0.0593385474,1.29607087e-05,0.000229661886,0,0,0.000209132565,0.00127067091,0.0227927782,0,0,0.00124663189,8.07078594e-09
1.544202,0.176988042,5.94724389e-05,0.00108099,0,0.172989078,0.0174918334,0,0,0.0592483688,1.04520566e-05,0.000226983883,0,0,7.57880375e-05,0.000276872395,0.0225573614,0,0,0.00112895911,6.86378853e-09
2.09734,0.1769251,5.10452569e-05,0.00107975105,0,0.148460798,0.0174971223,0,0,0.0592045252,8.98099652e-06,0.000223796522,0,0,0.000371883301,0.000304624427,0.0222864922,0,0,0.00112131713,6.26521286e-09
2.792513,0.176882871,4.42626318e-05,0.00107887355,0,0.128598963,0.0175130497,0,0,0.0591738451,7.78841454e-06,0.000211935853,0,0,7.10328704e-05,0.000261997204,0.0218791506,0,0,0.00122419985,5.94510159e-09
3.417528,0.176858897,4.00189776e-05,0.00107837842,0,0.116242671,0.0175313731,0,0,0.0591569758,7.04574557e-06,0.000207125322,0,0,0.000141196142,0.000395283888,0.0214145084,0,0,0.00144509559,5.94148797e-09
3.80687,0.176846231,3.78917236e-05,0.00107814752,0,0.110164455,0.0175438399,0,0,0.0591493056,6.68018433e-06,0.00021466515,0,0,0.000123165979,0.000103272801,0.0210506302,0,0,0.00168251596,6.07851264e-09
4.493651,0.176833265,3.48902671e-05,0.00107782677,0,0.101395024,0.0175670763,0,0,0.0591389338,6.15247266e-06,0.000200880961,0,0,5.95210586e-05,6.23481774e-05,0.0201692285,0,0,0.003044447,6.69952833e-09
4.879702,0.176826232,3.3508944e-05,0.00107768226,0,0.0972913136,0.0175806009,0,0,0.0591343591,5.90544838e-06,0.000209361282,0,0,0.00192158838,0.000288954114,0.0194348548,0,0,0.0033693994,7.43262046e-09
5.509013,0.176816797,3.15181148e-05,0.00107748912,0,0.0915478693,0.01760316,0,0,0.0591283217,5.56227755e-06,0.000194765302,0,0,7.24451212e-05,0.000281088067,0.0173769492,0,0,0.00715926521,1.02791915e-08
6.174128,0.176811172,2.97777441e-05,0.00107732527,0,0.0864626538,0.0176275133,0,0,0.0591231953,5.25455267e-06,0.000174117193,0,0,0.000522534809,0.000910193031,0.0108012412,0,0,0.0370221025,2.82347766e-08
6.43838,0.176808161,2.91618421e-05,0.00107726985,0,0.0847136778,0.0176373207,0,0,0.0591214916,5.14780006e-06,0.000246711342,0,0,0.0041734935,0.00137915813,0.00486989315,0,0,0.234411113,1.25422765e-07
6.583861,0.176806312,2.8830198e-05,0.00107724042,0,0.0837819798,0.0176427351,0,0,0.0591206089,5.0916412e-06,0.000220426718,0,0,0.000498693151,0.000221550505,0.294972414,0,0,5.2166084,2.31533162e-06
6.832457,0.176802526,2.83041009e-05,0.00107719012,0,0.0821899065,0.017651987,0,0,0.0591191005,4.99567769e-06,0.000195107149,0,0,0.000171295375,0.000173563585,0.155693847,0,0,1.21123683,4.98152282e-07
7.049632,0.176799994,2.786883e-05,0.00107715098,0,0.0809421018,0.0176601351,0,0,0.0591179571,4.92044237e-06,0.00019445822,0,0,0.00134703236,0.00126729118,0.0465227499,0,0,0.0648081814,1.9720854e-08
7.42859,0.176797544,2.71443425e-05,0.0010770847,0,0.0788255594,0.0176743808,0,0,0.0591160361,4.79281641e-06,0.000196043749,0,0,9.08740176e-05,7.36980354e-05,0.033026819,0,0,0.0146267707,3.94944243e-09
8.226709,0.176796507,2.58075762e-05,0.00107696171,0,0.0749033436,0.0177046226,0,0,0.0591125997,4.55619893e-06,0.000165120901,0,0,0.00013360297,0.000221200628,0.0271386787,0,0,0.00347437992,2.05162503e-09
