kg_fertile_per_m3_breeder,N_fertile_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,k_eff,M_subcrit
0.0,0.0,inf,1.8851665859340765,1.8851665859340765,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01,2.096601195184185e-08,4649548.532337672,1.8851665859340765,1.8851473216328576,0.9999897811146439,3.332177709990958e-07,2.3181715300097845e-06,2.65138930100888e-06,0.0,0.0,1.0
0.1,2.0966011951841865e-07,464966.07528263953,1.8851665859340765,1.8849741006378709,0.9998978948080016,3.331871525359248e-06,2.318171530009786e-05,2.651358682545711e-05,0.0,0.0,1.0
0.5,1.0483005975920925e-06,93003.19021108125,1.8851665859340765,1.8842076337678293,0.9994913170149512,1.665258361027643e-05,0.00011590857650048921,0.00013256116011076564,0.0,0.0,1.0
1,2.0966011951841866e-06,46507.82957713646,1.8851665859340765,1.8832572303550166,0.998987168776857,3.328836793366781e-05,0.0002318171530009786,0.0002651055209346464,0.0,0.0,1.0
10,2.096601195184186e-05,4662.005006586147,1.8851665859340765,1.867396902659835,0.9905739453442324,0.0003300802151292621,0.002318171530009785,0.002648251745139047,0.0,0.0,1.0
25,5.2415029879604635e-05,1872.2833685494593,1.8851665859340765,1.8447521479891247,0.9785618744536961,0.0008151938468478582,0.005795428825024462,0.00661062267187232,0.0,0.0,1.0
50,0.00010483005975920923,942.3761558705631,1.8851665859340765,1.8133696044373004,0.9619147814137595,0.0016026518740846437,0.011590857650048919,0.013193509524133562,0.0,0.0,1.0
75,0.00015724508963881393,632.4070849775981,1.8851665859340765,1.7868768054343436,0.9478614880864592,0.0023688563991423883,0.017386286475073388,0.019755142874215776,0.0,0.0,1.0
100,0.00020966011951841862,477.4225495311154,1.8851665859340765,1.763627412928706,0.9355286827635185,0.003117379679907361,0.023181715300097855,0.026299094980005214,0.0,0.0,1.0
150,0.0003144901792776276,322.43801408463264,1.8851665859340765,1.7237542893760485,0.9143777012798844,0.004570350195961089,0.03477257295014675,0.039342923146107836,0.0,0.0,1.0
250,0.0005241502987960465,198.4503857274466,1.8851665859340765,1.6606603852486141,0.8809090918751765,0.0073384390918548766,0.05795428825024464,0.06529272734209951,0.0,0.0,1.0
500,0.001048300597592093,105.45966445955699,1.8851665859340765,1.5525307941603745,0.8235509825733066,0.013721231351549753,0.11590857650048927,0.12962980785203904,0.0,0.0,1.0
750,0.0015724508963881393,74.46275737026045,1.8851665859340765,1.4799357342512405,0.7850424176269551,0.01961945682958474,0.17386286475073387,0.1934823215803186,0.0,0.0,1.0
1000,0.0020966011951841857,58.9643038256122,1.8851665859340765,1.4263157164025249,0.7565992984624238,0.025211490810647108,0.2318171530009785,0.2570286438116256,0.0,0.0,1.0
2000,0.004193202390368374,35.7166235086398,1.8851665859340765,1.2997576871878234,0.6894656933163335,0.045948913848125855,0.4636343060019573,0.5095832198500831,0.0,0.0,1.0
3000,0.006289803585552554,27.96739673631569,1.8851665859340765,1.233825578742691,0.6544915382803403,0.0654271320494249,0.6954514590029353,0.7608785910523601,0.0,0.0,1.0
4000,0.008386404780736748,24.092783350153617,1.8851665859340765,1.1928110273449233,0.6327350782922456,0.08433629079147921,0.9272686120039146,1.011604902795394,0.0,0.0,1.0
4499,0.009432608777133642,22.80354213230863,1.8851665859340765,1.1775854948591509,0.6246585864854336,0.09364644604896866,1.0429453713514014,1.1365918174003702,0.0,0.0,1.0
