kg_fertile_per_m3_breeder,N_fertile_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,k_eff,M_subcrit
0.0,0.0,inf,0.8599697704904362,0.8599697704904362,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01,2.04366946763962e-08,4333471.3932040455,0.8599697704904362,0.8599633856806966,0.9999925755416543,8.134147960252844e-07,1.252077969852303e-06,2.065495395951109e-06,1.3992723918407314e-06,1.2733378765750656e-06,1.000001273339498
0.1,2.0436694676396208e-07,433358.89674421283,0.8599697704904362,0.8599060380561993,0.9999258899133157,8.133605525457834e-06,1.2520779698523036e-05,2.065464822825552e-05,1.3992767305152844e-05,1.2733418247689088e-05,1.0000127335803897
0.5,1.0218347338198104e-06,86682.23039222753,0.8599697704904362,0.8596536356010291,0.9996323883696205,4.0656090613748416e-05,6.260389849261517e-05,0.00010326656387872412,6.996480080908873e-05,6.366796873627075e-05,1.0000636720226046
1,2.04366946763962e-06,43347.64709822938,0.8599697704904362,0.8593436288446822,0.9992719027258401,8.12828585741514e-05,0.0001252077969852303,0.00020651695304235967,0.00013993201292738293,0.00012733813176391847,1.0001273543488287
10,2.0436694676396192e-05,4346.522133631057,0.8599697704904362,0.8545500809441066,0.9936978138856686,0.0008082945057414708,0.0012520779698523025,0.0020630002782611803,0.0013997551378630935,0.0012737771754554152,1.001275401753098
25,5.109173669099054e-05,1746.4471359911702,0.8599697704904362,0.8484742654975093,0.986632663859369,0.0020063689137650572,0.00313019492463076,0.005152981750252473,0.00350120808793023,0.003186099360016509,1.0031962830353498
50,0.00010218347338198097,879.755470111207,0.8599697704904362,0.8407503727404028,0.9776510775034886,0.00397620878015346,0.006260389849261514,0.010302304124030898,0.007008513762359176,0.00637774752374685,1.0064186842714649
75,0.00015327521007297147,590.8582481512194,0.8599697704904362,0.8345030836080655,0.9703865324616617,0.005919994678013785,0.009390584773892272,0.015458595249868264,0.010521960139733598,0.009574983727157574,1.00966755036458
100,0.0002043669467639621,446.4096371712256,0.8599697704904362,0.829099238964147,0.9641027713001075,0.00784221281482727,0.012520779698523037,0.02062655529510033,0.01404158020332799,0.01277783798502847,1.0129432244095375
150,0.0003065504201459431,301.9610261912318,0.8599697704904362,0.8198547378883244,0.9533529735827407,0.011632157580672983,0.01878116954778455,0.031008709874048083,0.02109945096244643,0.01920050037582625,1.0195763766021329
250,0.0005109173669099051,186.40213740723672,0.8599697704904362,0.8050375460712227,0.9361230751310177,0.019036550341381527,0.03130194924630758,0.05200871920601311,0.03529035519433085,0.03211422322684108,1.0331797656267943
500,0.0010218347338198097,99.73297081924044,0.8599697704904362,0.7786836086316815,0.9054778846326219,0.03682672886020693,0.06260389849261513,0.10632061600889457,0.0712130571641982,0.06480388201942038,1.069294430091685
750,0.0015327521007297152,70.84324862324162,0.8599697704904362,0.7602111207923232,0.8839974925616034,0.05392964840584266,0.09390584773892274,0.16391282080857433,0.10778528276980993,0.09808460732052704,1.1087514506534037
1000,0.00204366946763962,56.39838752524223,0.8599697704904362,0.7461468991973669,0.8676431716568865,0.07057590333745627,0.1252077969852303,0.2255496841772805,0.14502291362986766,0.13197085140317957,1.1520350458466884
2000,0.0040873389352792415,34.73109587824316,0.8599697704904362,0.7114578450059261,0.8273056442439662,0.134589529627011,0.2504155939704607,0.5302207517522053,0.3009644809817391,0.2738776776933826,1.3771784302448882
3000,0.006131008402918866,27.508665329243463,0.8599697704904362,0.6924887479420357,0.8052477792877686,0.1965015963596693,0.3756233909556913,0.9981088798261857,0.4690011050456061,0.42679100559150157,1.7445643905708643
4000,0.008174677870558483,23.89745005474362,0.8599697704904362,0.6803461629941652,0.7911279981459899,0.2574079988116899,0.5008311879409214,1.8583575055337473,0.6505321101187147,0.5919842202080304,2.4508856018016236
4499,0.009194468934910653,22.69585208498895,0.8599697704904362,0.675766600189165,0.7858027379308681,0.2875708249057982,0.5633098786365514,2.6545771267614935,0.7466665637918697,0.6794665730506014,3.1197994215993776
