kg_fertile_per_m3_breeder,N_fertile_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,k_eff,M_subcrit
0.0,0.0,inf,4.257666273823884,4.257666273823884,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01,1.2884223104153747e-08,29119009.52899444,4.257666273823884,4.257522766600342,0.9999662943936155,3.325150379008433e-06,2.2626152855228986e-07,3.5514145221615994e-06,8.272066735665474e-07,7.362139394742272e-07,1.0000007362144816
0.1,1.2884223104153746e-07,2911869.61398282,4.257666273823884,4.256232205096301,0.9996631796304938,3.324142442865857e-05,2.262615285522899e-06,3.5504301102098927e-05,8.27207634480012e-06,7.362147946872107e-06,1.0000073622021484
0.5,6.442111552076873e-07,582346.0659817859,4.257666273823884,4.250518128361238,0.9983211118479169,0.0001659839857625513,1.1313076427614493e-05,0.00017730358890061376,4.136059834588444e-05,3.681093252783715e-05,1.0000368122876224
1,1.2884223104153742e-06,291155.62248165684,4.257666273823884,4.243425014622253,0.9966551490216163,0.00033141399516066445,2.262615285522898e-05,0.00035406621520609567,8.272175230908162e-05,7.362235955508264e-05,1.000073627780206
10,1.2884223104153745e-05,29084.22333154069,4.257666273823884,4.124358241084614,0.9686898821641218,0.003221148099569614,0.00022626152855228983,0.0034499499461495527,0.0008273424146029056,0.000736334748996586,1.000736877337386
25,3.221055776038435e-05,11612.796721532943,4.257666273823884,3.955550787495143,0.9290419993257466,0.007723271207971231,0.0005656538213807244,0.008304217231998643,0.002069099312408299,0.001841498388043386,1.0018448957606128
50,6.442111552076874e-05,5788.987851530362,4.257666273823884,3.7317727185646064,0.8764831432438777,0.014572682460858407,0.0011313076427614495,0.01576208972492054,0.00414161285152068,0.003686035437853405,1.0036996725620255
75,9.663167328115311e-05,3847.718228196167,4.257666273823884,3.555819581086006,0.8351569504043028,0.0208283704091176,0.0016969614641421742,0.02265069808026275,0.0062188329139251436,0.005534761293393378,1.0055655653691746
100,0.00012884223104153752,2877.0834165290694,4.257666273823884,3.4118525988557904,0.8013433602891441,0.02664676992735199,0.0022626152855228995,0.02912457040128446,0.008301619809021681,0.007388441630029296,1.0074434370300527
150,0.00019326334656230617,1906.4486048619726,4.257666273823884,3.186436689437647,0.7483998238724927,0.03732938757963628,0.0033939229282843476,0.0411809459379747,0.012486287060884383,0.011112795484187102,1.0112376774959164
250,0.00032210557760384344,1129.9407555282955,4.257666273823884,2.8767976651905833,0.675674766450608,0.0561698983842274,0.005656538213807243,0.06300074242728915,0.020943320683786553,0.018639555408570034,1.0189935874339526
500,0.0006442111552076872,547.5598685280368,4.257666273823884,2.440536603988214,0.5732099340412431,0.09530367373954597,0.01131307642761449,0.11082780777542216,0.04269258318389765,0.037996399033668915,1.0394971484467435
750,0.0009663167328115305,353.43290619461743,4.257666273823884,2.1885491557257652,0.5140255282996127,0.1281952344165216,0.016969614641421733,0.15414424221579487,0.06545301757826541,0.058253185644656216,1.061856525296061
1000,0.0012884223104153735,256.3694250279077,4.257666273823884,2.013166779629182,0.4728333904435216,0.15722951226016396,0.022626152855228968,0.19539914907701023,0.08937904184032659,0.07954734723789067,1.08642198705081
2000,0.0025768446208307492,110.7742032778431,4.257666273823884,1.597615951663633,0.3752327798648217,0.24954949525384043,0.04525230571045797,0.35863527473892715,0.19998870521971776,0.17798994764554882,1.2165301350460853
3000,0.0038652669312461267,62.24246269448822,4.257666273823884,1.348633654356419,0.3167541952848239,0.31598725029303415,0.06787845856568701,0.5538682357039187,0.3448727744139383,0.3069367692284051,1.4428697925392593
4000,0.005153689241661497,37.97659240281081,4.257666273823884,1.159056556289459,0.2722281366708646,0.36209200126162333,0.09050461142091591,0.8821200676115866,0.5471030999470309,0.4869217589528575,1.9490204806952987
4499,0.00579661197455877,29.902351943455145,4.257666273823884,1.075352310148915,0.25256848258873105,0.37785143641570385,0.1017950616956752,1.222438612329216,0.6827319365783178,0.6076314235547028,2.5486240744852737
