kg_fertile_per_m3_breeder,N_fertile_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,k_eff,M_subcrit
0.0,0.0,inf,1.8749608828663549,1.8749608828663549,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.01,2.096601195184185e-08,14103686.603244798,1.8749608828663549,1.8749440482065463,0.9999910213274514,3.3109584974059576e-07,2.313765195050019e-06,2.6448631793758177e-06,8.868882307456085e-07,8.070682899785037e-07,1.0000008070689412
0.1,2.0966011951841865e-07,1410363.0585263795,1.8749608828663549,1.8747926401199668,0.9999102686632423,3.310691126285571e-06,2.3137651950500203e-05,2.6448556535347082e-05,8.868909245737364e-06,8.070707413621e-06,1.0000080707725505
0.5,1.0483005975920925e-06,282067.63232918666,1.8749608828663549,1.8741219583696367,0.9995525642671351,1.654753385620891e-05,0.00011568825975250093,0.00013224113007810054,4.434514491985651e-05,4.035408187706942e-05,1.0000403557103947
1,2.0966011951841866e-06,141030.70405453764,1.8749608828663549,1.8732886733295142,0.9991081363072043,3.308035275499289e-05,0.00023137651950500205,0.00026447821817163073,8.869178685380266e-05,8.070952603696043e-05,1.0000807160405905
10,2.096601195184186e-05,14097.468607353456,1.8749608828663549,1.859121341859477,0.9915520685516046,0.00032830172241280186,0.0023137651950500197,0.0026442016897410417,0.0008871878463513054,0.0008073409401796879,1.0008079932662228
25,5.2415029879604635e-05,5635.252910874511,1.8749608828663549,1.838092784439086,0.9803366039450878,0.0008114707382175633,0.005784412987625048,0.006609230276277771,0.002219099399876914,0.0020193804538879917,1.0020234666027947
50,0.00010483005975920923,2814.5143453815294,1.8749608828663549,1.8075372844759605,0.9640399973105997,0.0015959625400924203,0.011568825975250092,0.01321821932160821,0.004441988008518366,0.004042209087751713,1.0040586148576127
75,0.00015724508963881393,1874.2681568838686,1.8749608828663549,1.78057284082814,0.9496586606682063,0.0023582314829191982,0.017353238962875144,0.019831820252087955,0.006668703765337241,0.00606852042645689,1.0061055722161658
100,0.00020966011951841862,1404.1450626350384,1.8749608828663549,1.7560812879139915,0.936596226599338,0.0031010590784914557,0.0231376519505002,0.026452936002047518,0.008899279017078566,0.008098343905541495,1.0081644625309207
150,0.0003144901792776276,934.0219683862078,1.8749608828663549,1.712340830660407,0.9132674960357884,0.00453572688941304,0.03470647792575026,0.03972561108329534,0.013372121026713627,0.0121686301343094,1.0123185297668404
250,0.0005241502987960465,557.9234929871435,1.8749608828663549,1.638643975883056,0.8739616868048851,0.00723419213677705,0.0578441298762505,0.06643033736487212,0.022365250799686587,0.020352378227714796,1.02077520301728
500,0.001048300597592093,275.8496364378453,1.8749608828663549,1.498163527530889,0.7990372179074824,0.01322801410187907,0.115688259752501,0.13443767116717428,0.045132212733395335,0.04107031358738976,1.0428293274984897
750,0.0015724508963881393,181.82501758807925,1.8749608828663549,1.391333147860136,0.7420598267272271,0.018427135117858026,0.17353238962875145,0.20468464419023047,0.06831801083840314,0.06216938986294686,1.0662906384062911
1000,0.0020966011951841857,134.8127081631962,1.8749608828663549,1.3039127852450643,0.6954346606163334,0.02302575973033958,0.23137651950500193,0.2776293398257321,0.09193640132935578,0.08366212520971376,1.0913005208137454
2000,0.004193202390368374,64.29424402587166,1.8749608828663549,1.0550486102875931,0.5627043315563378,0.03726214832650024,0.4627530390100042,0.6051879864280887,0.19097289947605328,0.1737853385232085,1.2103392091984682
3000,0.006289803585552554,40.78808931343017,1.8749608828663549,0.8877287895497982,0.47346523208136415,0.047029134260779065,0.6941295585150056,1.0167321330887307,0.2978443845065579,0.27103838990096774,1.3718143536586873
4000,0.008386404780736748,29.03501195720942,1.8749608828663549,0.761765992604816,0.40628367213734234,0.05380801818939305,0.9255060780200084,1.5696119947594636,0.41327347877147175,0.3760788656820393,1.6027666719338654
4499,0.009432608777133642,25.12428583979166,1.8749608828663549,0.7090072980246575,0.3781451146547438,0.056329010659775816,1.0409629612530027,1.9305699767157913,0.47431076118042687,0.43162279267418846,1.7593949706480203
