kgU238_per_m3_breeder,N_U238_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_per_source_neutron
0.0,0.0,inf,3.641929180874553,3.641929180874553,1.0,0.0
0.1,2.529722454172585e-07,1024750.7040804126,3.641929180874553,3.6360739248744847,0.9983922652777498,0.0001624497680161631
0.5,1.2647635263252636e-06,204961.86893449762,3.641929180874553,3.6130260383866797,0.992063782393228,0.0008070379173851884
1,2.5292828431936425e-06,102488.26454125819,3.641929180874553,3.585025585821071,0.9843754251586471,0.001601412349156782
10,2.5248951222616712e-05,10262.020587342722,3.641929180874553,3.194031846668691,0.8770164624402976,0.014242823779409526
25,6.294039965518268e-05,4113.604323748358,3.641929180874553,2.800380397674099,0.7689277464208217,0.031128632395959588
50,0.00012527884575137208,2064.1322358835705,3.641929180874553,2.4271858968208835,0.666456094085287,0.053702474674095016
75,0.00018702393269560708,1380.9748732619746,3.641929180874553,2.1998261780526995,0.6040277195957021,0.07266061450759224
100,0.0002481840920607336,1039.3961919511764,3.641929180874553,2.0413104817024688,0.5605025194949781,0.08947393178541829
150,0.00036878256309551044,697.8175106403785,3.641929180874553,1.8278130103405092,0.5018804374173987,0.11904623322038557
250,0.000603314165025598,424.55456559173996,3.641929180874553,1.5824001670004577,0.4344950405159907,0.16860612906937758
500,0.0011535010872815445,219.60735680526125,3.641929180874553,1.2984963847272473,0.35654081126734966,0.2645283777782532
750,0.0016572823181192316,151.29162054310157,3.641929180874553,1.1587566584095086,0.3181711123035213,0.33915814799732313
999.99,0.0021202736581599963,117.13477715831317,3.641929180874553,1.0708490691320474,0.29403346851321793,0.40099014282700596
2000,0.0036498087975104588,65.89695021540207,3.641929180874553,0.8951586292005073,0.2457924316324978,0.5770103879216786
3000,0.0048052700976869995,48.818016149862174,3.641929180874553,0.814670114269725,0.2236919154133839,0.6913740968270652
4000,0.0057089423625725595,40.278549117092226,3.641929180874553,0.766834864119155,0.2105573244384207,0.7731629311097354
