kgU238_per_m3_breeder,N_U238_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_per_source_neutron
0.0,0.0,inf,3.641929180874553,3.641929180874553,1.0,0.0
0.1,2.529722454172585e-07,1165843.093077719,3.641929180874553,3.6340781848438173,0.9978442754812573,0.00016236060384851935
0.5,1.2647635263252636e-06,233182.2177311964,3.641929180874553,3.6033132964626677,0.9893968601545919,0.0008048683921918535
1,2.5292828431936425e-06,116599.60831288106,3.641929180874553,3.5662273210500275,0.9792138023380381,0.0015930152617088904
10,2.5248951222616712e-05,11675.25983639725,3.641929180874553,3.0757855038482558,0.8445484113201931,0.013715539799724836
25,6.294039965518268e-05,4680.303271298331,3.641929180874553,2.6201530401060835,0.7194409638346934,0.029125250581799773
50,0.00012527884575137208,2348.6510829320246,3.641929180874553,2.2133926968089237,0.6077528109092477,0.04897221321197377
75,0.00018702393269560708,1571.4336868099233,3.641929180874553,1.9754224585729152,0.5424110026484776,0.06524852335336111
100,0.0002481840920607336,1182.8249887488716,3.641929180874553,1.813308232128565,0.49789771905809743,0.07948022533646917
150,0.00036878256309551044,794.2162906878203,3.641929180874553,1.5991201527288645,0.43908600999892605,0.1041513708307145
250,0.000603314165025598,483.32933223897953,3.641929180874553,1.357229379803838,0.3726677023076875,0.14461398371925918
500,0.0011535010872815445,250.16411340234896,3.641929180874553,1.0796099609461187,0.296439031987675,0.21993705562939134
750,0.0016572823181192316,172.44237379013865,3.641929180874553,0.9421517837161334,0.2586958001994674,0.2757597566137241
999.99,0.0021202736581599963,133.58266982178608,3.641929180874553,0.8548327689978579,0.23471976706383485,0.320100678998104
2000,0.0036498087975104588,75.29019927487583,3.641929180874553,0.6768267570543356,0.18584292100150232,0.43627582520485025
3000,0.0048052700976869995,55.85976437182331,3.641929180874553,0.5928960370345158,0.16279724497337453,0.5031643544264943
4000,0.0057089423625725595,46.14454692029702,3.641929180874553,0.5420250007129771,0.14882908859386942,0.546497893998836
