kg_fertile_per_m3_breeder,N_fertile_atom_per_b_cm,sigma_bg,I_infinite_b,I_eff_b,I_eff_over_I_infinite,R_I,R_F,R_per_source_neutron,k_inf,M_subcrit
0.0,0.0,inf,1.876083027762981,1.876083027762981,1.0,0.0,0.0,0.0,0.0,1.0
0.1,2.096554600086692e-07,1410773.6212068251,1.876083027762981,1.8759146212440636,0.9999102350394811,3.315501372757232e-06,2.3077830658974892e-05,2.6393332031732125e-05,8.9829157388319e-06,1.0000089829964323
0.5,1.048184120202787e-06,282174.8223125939,1.876083027762981,1.875243340412842,0.9995524252723824,1.6570697076178558e-05,0.00011538304207195047,0.00013195373914812902,4.491118850332201e-05,1.0000449132056088
1,2.0961353373887376e-06,141099.97245081508,1.876083027762981,1.8744094315632154,0.9991079306326004,3.312446351288514e-05,0.00023075080821971422,0.00026387527173259937,8.98139032141264e-05,1.000089821970476
10,2.0919519147212714e-05,14132.60757521414,1.876083027762981,1.8602531302511682,0.9915622617562464,0.0003283517818880094,0.002304762462582395,0.002633114244470404,0.0008966169134963611,1.000897421556843
25,5.212541320209355e-05,5668.116583507412,1.876083027762981,1.8393259524000347,0.980407543366151,0.0008100393386649727,0.005750508507938461,0.006560547846603434,0.0022352326786343416,1.0022402401365957
50,0.00010367795892582852,2846.6195862718364,1.876083027762981,1.809131925188442,0.9643133584261616,0.0015882523042982466,0.01146325874087465,0.013051511045172897,0.004449608315698379,1.0044694958214726
75,0.00015466702943174067,1906.1205871933103,1.876083027762981,1.7827268247789227,0.9502387678996409,0.0023399331331240467,0.017138684583888973,0.01947861771701302,0.006643444607166625,1.0066878751351667
100,0.00020510181277937325,1435.8710876540474,1.876083027762981,1.7589568063907532,0.9375687431531814,0.0030682936048363795,0.022777212762354396,0.025845506367190775,0.008817046929292555,1.0088954787831823
150,0.0003043442821720733,965.6215881147845,1.876083027762981,1.717047037805244,0.915229769895968,0.004463775403264011,0.03394524759163446,0.03840902299489847,0.013104724065638633,1.0132787382665618
250,0.0004965606388632304,589.4219884833743,1.876083027762981,1.6481278597030846,0.8784940939785019,0.007050276204002669,0.055856545040485664,0.06290682124448833,0.021449764622290216,1.0219199422235188
500,0.0009434604222980386,307.2722887598167,1.876083027762981,1.5232481820704575,0.8119300476198863,0.012633698852840228,0.10829756466777475,0.12093126352061498,0.041063389024305945,1.0428217971389422
750,0.0013477944101931726,213.22238885196413,1.876083027762981,1.4345189809728784,0.7646351252819454,0.017322041968073548,0.1576709288283676,0.17499297079644116,0.059070838030912995,1.0627792616261305
999.99,0.0017153535038094561,166.19884966064413,1.876083027762981,1.3661950699419991,0.7282167418629835,0.02137281444756973,0.20427152922000785,0.22564434366757757,0.07566223359317593,1.0818556120316252
2000,0.0029028905040103226,95.66001396714846,1.876083027762981,1.1937471564140658,0.6362976151633735,0.03360708832586195,0.3676015855215396,0.40120867384740155,0.13076304313598963,1.1504342884910808
3000,0.003773720307979694,72.1475389901853,1.876083027762981,1.0963149603924063,0.5843637750401907,0.04215577961428266,0.5020889036551063,0.5442446832693889,0.1726791119790802,1.208720841549348
4000,0.004439637351563707,60.39130150170375,1.876083027762981,1.0324894887582943,0.5503431743047228,0.048644787905474975,0.6151903490328934,0.6638351369383684,0.2056299042108787,1.2588590699736846
