filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","Th232(n,g)","Th232(n,g)_sd","tot(n,fis)","tot(n,fis)_sd",tbr,tbr_sd,U233 [kg/yr],U233_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_DCLL_900K_Li90.0_Th232_000.00kgm3_4e6x25,0.0,0.0,1.3717522252715355,0.0001893704787711,0.0019843852238005,2.654481113644771e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.373736610495336,0.0001896359268825,0.0,0.0,0.1145665071389548,4.746593887590248e-05,890.8270371776414,0.0935742521862732,0.0,0.0
tallies_DCLL_900K_Li90.0_Th232_000.10kgm3_4e6x25,0.1,0.03452584000000001,1.37172652740165,0.0001845856179884,0.001984341111391,2.6362848896304725e-07,0.0,0.0,2.6509941412136465e-05,5.880028540819257e-09,1.719526719663148e-06,1.86805132309742e-10,1.3737108685130408,0.0001848492464774,0.1147411139646465,2.545011376783514e-05,0.1145614846245008,4.879584984969567e-05,890.8508058219346,0.0926433096626518,0.0177252695933619,1.941421965503857e-06
tallies_DCLL_900K_Li90.0_Th232_000.50kgm3_4e6x25,0.5,0.17262920000000004,1.3715564502087898,0.0001921213602214,0.0019841443337662,2.639950105139368e-07,0.0,0.0,0.0001325268166044,2.9244276910687694e-08,8.596092537142662e-06,9.28416215286023e-10,1.373540594542556,0.0001923853552319,0.5736064946721908,0.0001265759458935,0.1145467169743693,5.082623404384583e-05,890.9138620114733,0.0949334605397713,0.0886102484444213,9.651462431809389e-06
tallies_DCLL_900K_Li90.0_Th232_001.00kgm3_4e6x25,1.0,0.3452584000000001,1.3713229408115517,0.0001861784649243,0.0019838772369706,2.677168916515981e-07,0.0,0.0,0.0002650106344232,5.47117707768958e-08,1.718846179169393e-05,1.903782734287337e-09,1.3733068180485222,0.000186446181816,1.1470268807264394,0.0002368051074999,0.1145411271794562,4.654152797511804e-05,890.983990222728,0.0939258508254244,0.1771816442739916,1.9798990046309176e-05
tallies_DCLL_900K_Li90.0_Th232_010.00kgm3_4e6x25,10.0,3.4525840000000008,1.368106079924822,0.0001712142394462,0.0019792780507677,2.702806480062056e-07,0.0,0.0,0.0026436712927008,4.367528080286836e-07,0.0001712387285653,1.9332912115407386e-08,1.3700853579755898,0.0001714845200942,11.442416426540454,0.0018903664456027,0.1144542282042476,4.4826750585072286e-05,892.5948072068372,0.0957949622725555,1.765078636604211,0.0002005991610492
tallies_DCLL_900K_Li90.0_Th232_025.00kgm3_4e6x25,25.0,8.63146,1.3630907817647464,0.0001976441755969,0.0019715666296736,2.591832095825159e-07,0.0,0.0,0.0065859215583163,1.2915203613912071e-06,0.0004254399054638,4.6338306445472275e-08,1.36506234839442,0.0001979033588065,28.50538084324284,0.0055899966986048,0.1142640665122818,4.755622234635291e-05,895.3221761016172,0.0962580016255407,4.384988099046193,0.0004815697503287
tallies_DCLL_900K_Li90.0_Th232_050.00kgm3_4e6x25,50.0,17.26292,1.3541670766882876,0.0001650015820698,0.0019588788009852,2.618301006208448e-07,0.0,0.0,0.0130865215253523,2.332966711144816e-06,0.0008421406547223,9.145794823302265e-08,1.3561259554892726,0.0001652634121704,56.64147024684947,0.0100976156498273,0.1139972459747189,4.120456912472594e-05,899.5811463571702,0.0942037750337361,8.678843229829042,0.0009519516805618
tallies_DCLL_900K_Li90.0_Th232_075.00kgm3_4e6x25,75.0,25.894380000000005,1.3456089874880608,0.0001864116357325,0.0019462801823761,2.7432101803080444e-07,0.0,0.0,0.0195137699032295,3.820906779357524e-06,0.0012503849878575,1.3360449767871494e-07,1.3475552676704368,0.0001866859567506,84.46007712869964,0.0165377619438209,0.1136919699972282,4.829641897633854e-05,903.855829297196,0.0916075510412878,12.884544844181876,0.0013821462697206
tallies_DCLL_900K_Li90.0_Th232_100.00kgm3_4e6x25,100.0,34.52584,1.3368878053493376,0.0001817031076541,0.0019339794212449,2.767821389051292e-07,0.0,0.0,0.0258611437195529,4.208269014701584e-06,0.0016505702709699,1.9021632319584261e-07,1.3388217847705826,0.000181979889793,111.93296856638295,0.0182143546491848,0.1134916002992319,4.673031944531863e-05,907.9784653182652,0.1060695072125066,17.006264570764955,0.0019749429234983
tallies_DCLL_900K_Li90.0_Th232_150.00kgm3_4e6x25,150.0,51.78876000000001,1.3204434959549074,0.0001573309365041,0.0019097098908988,2.8755826949593735e-07,0.0,0.0,0.0383498240828668,5.876757021316488e-06,0.0024275974265075,3.050120142018174e-07,1.322353205845806,0.0001576184947736,165.98684498042246,0.0254359538801813,0.113038499408938,4.805251596782171e-05,916.1805245767656,0.0981760732293125,25.00657953718748,0.0031601444747978
tallies_DCLL_900K_Li90.0_Th232_250.00kgm3_4e6x25,250.0,86.31460000000001,1.2875037089634191,0.0001563767380674,0.0018629394434668,2.760676754246284e-07,0.0,0.0,0.0624381090773907,1.0066017057849214e-05,0.0038945492989493,4.786758699457729e-07,1.289366648406886,0.0001566528057428,270.2464738796478,0.0435680333067802,0.1122611621569355,4.808802148466383e-05,931.2639157436372,0.0881859248646048,40.10047326692271,0.0049528413934015
tallies_DCLL_900K_Li90.0_Th232_500.00kgm3_4e6x25,500.0,172.62920000000003,1.211433391877946,0.000153765938024,0.0017552731174963,2.453778631739196e-07,0.0,0.0,0.1179466934994144,1.9015672975840853e-05,0.0071306154403765,1.0116826352875897e-06,1.2131886649954422,0.0001540113158872,510.50037380972446,0.082304199247929,0.1108193876371099,5.048707667610271e-05,964.5595673224444,0.1095566457878777,73.3528797217205,0.0105055947945955
tallies_DCLL_900K_Li90.0_Th232_750.00kgm3_4e6x25,750.0,258.94380000000007,1.1433239534895,0.0001605743900472,0.001658797650624,2.4400437320449694e-07,0.0,0.0,0.1673170761105964,3.040997001386837e-05,0.0098706612992939,1.3669900152063382e-06,1.144982751140124,0.0001608183944204,724.1867267744442,0.1316213333246123,0.109894920721567,4.253173232923177e-05,992.5975712697824,0.1191222864112848,101.46099167349624,0.0141676672407033
tallies_DCLL_900K_Li90.0_Th232_999.99kgm3_4e6x25,999.99,345.25494741600005,1.082078498783147,0.0001651566651493,0.0015721642094585,2.2687654632018358e-07,0.0,0.0,0.2112615634703718,3.633102369601271e-05,0.0122259411509786,1.6105197651316991e-06,1.0836506629926057,0.0001653835416956,914.388559131478,0.1572490133247908,0.1091576888136459,4.781738926672021e-05,1016.5027631882951,0.1206007100730023,125.58786130025558,0.0166666496728401
