filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","U238(n,g)",tbr,Pu239_kg/yr
tallies_DCLL_900K_Li90.0_U000.00kgm3,0.0,0.0,1.3001324586029672,0.0019926651027089,0.0,1.302125123705676,0.0
tallies_DCLL_900K_Li90.0_U000.10kgm3,0.1,0.042730000000000004,1.3002894509900524,0.0019925560599092,1.91867476127042e-05,1.3022820070499617,0.0851703543595234
tallies_DCLL_900K_Li90.0_U000.50kgm3,0.5,0.21365,1.300028399031832,0.001992473600924,9.590527955830576e-05,1.3020208726327562,0.4257254439268049
tallies_DCLL_900K_Li90.0_U001.50kgm3,1.5,0.64095,1.299770863747911,0.0019920324042615,0.0002878140272397,1.3017628961521726,1.277612192773192
tallies_DCLL_900K_Li90.0_U003.00kgm3,3.0,1.2819,1.299087642618472,0.0019912715268968,0.0005753492017731,1.3010789141453687,2.5539865528350494
tallies_DCLL_900K_Li90.0_U007.50kgm3,7.5,3.20475,1.2988682031971794,0.0019892814331548,0.0014389829379012,1.3008574846303342,6.387673888887981
tallies_DCLL_900K_Li90.0_U015.00kgm3,15.0,6.4095,1.2987394251724944,0.0019857292269336,0.0028837224645989,1.3007251543994285,12.80090138996695
tallies_DCLL_900K_Li90.0_U030.00kgm3,30.0,12.819,1.2977126353342194,0.0019792251644372,0.0057885510260854,1.2996918604986565,25.69549316390872
tallies_DCLL_900K_Li90.0_U045.00kgm3,45.0,19.2285,1.297685424881016,0.0019726760272657,0.0087229691699808,1.299658100908282,38.72143368282727
tallies_DCLL_900K_Li90.0_U060.00kgm3,60.0,25.638,1.2955621504620758,0.001966268613379,0.0116500019121965,1.2975284190754548,51.71459025676226
tallies_DCLL_900K_Li90.0_U075.00kgm3,75.0,32.0475,1.294968996598184,0.0019603485354393,0.0146219106975007,1.2969293451336237,64.90695247874378
tallies_DCLL_900K_Li90.0_U090.00kgm3,90.0,38.457,1.29448542977473,0.0019541259134579,0.0176229655708416,1.2964395556881878,78.22869476536141
tallies_DCLL_900K_Li90.0_U1000.00kgm3,1000.0,427.3,1.1706101648582108,0.0015651026558345,0.2288116981542428,1.172175267514045,1015.6996801530614
tallies_DCLL_900K_Li90.0_U105.00kgm3,105.0,44.8665,1.2938006384270797,0.00194748426526,0.0206461451546633,1.2957481226923395,91.64864908195854
tallies_DCLL_900K_Li90.0_U120.00kgm3,120.0,51.276,1.2939189116578111,0.0019411624360154,0.0236852832896213,1.2958600740938266,105.13944372453396
tallies_DCLL_900K_Li90.0_U135.00kgm3,135.0,57.6855,1.2924734221459615,0.0019354914409318,0.0267454915094556,1.2944089135868937,118.7237688930495
tallies_DCLL_900K_Li90.0_U150.00kgm3,150.0,64.095,1.2889887117665997,0.0019287943488287,0.0297518904131487,1.2909175061154283,132.06923343671596
tallies_DCLL_900K_Li90.0_U250.00kgm3,250.0,106.825,1.280444644222971,0.0018872618325749,0.0506379044631486,1.282331906055546,224.7826653170951
tallies_DCLL_900K_Li90.0_U500.00kgm3,500.0,213.65,1.2515089387065803,0.0017773499659814,0.1063920374673889,1.253286288672562,472.2763709118328
tallies_DCLL_900K_Li90.0_U750.00kgm3,750.0,320.475,1.2136080868610897,0.0016711446751073,0.1658085838156915,1.2152792315361969,736.0276022019774
