filename,src-n,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","U235(n,inel)","U235(n,inel)_sd","U238(n,inel)","U238(n,inel)_sd","Th232(n,inel)","Th232(n,inel)_sd","U235(n,el)","U235(n,el)_sd","U238(n,el)","U238(n,el)_sd","Th232(n,el)","Th232(n,el)_sd","Li6(n,el)","Li6(n,el)_sd","Li7(n,el)","Li7(n,el)_sd","Be9(n,el)","Be9(n,el)_sd","Pb(n,el)","Pb(n,el)_sd","tot(n,fis)","tot(n,fis)_sd","tot(n,nufis)","tot(n,nufis)_sd",tbr,tbr_sd,Pu239_kg/yr,Pu239_kg/yr_sd,U233_kg/yr,U233_kg/yr_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_FLiBe_900K_Li07.5_Th232_0000.00kgm3_4e4x25,1000000,0.0,0.0,1.0935907884568383,0.001365129610753,0.1005096923394351,0.0001261412254872,0.1062668222881827,0.0001261360060972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134269715103461,0.0002391378893215,4.651656804741998,0.0033794149008134,10.85496249774257,0.0093889493042189,0.0,0.0,0.0,0.0,0.0,0.0,1.1941004807962738,0.0014912708362403,0.0,0.0,0.0,0.0,0.001032,3.209750769140767e-05,638.0360555110448,0.4915005517775674,0.0,0.0
tallies_FLiBe_900K_Li07.5_Th232_0000.00kgm3_4e5x25,10000000,0.0,0.0,1.0941898207076255,0.0003712567096813,0.100336612959751,5.1105610347632894e-05,0.10613491951247,5.080290177309579e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134038470180982,6.786337335978116e-05,4.651910679536675,0.0009728856508822,10.857657121619294,0.0024388888788914,0.0,0.0,0.0,0.0,0.0,0.0,1.1945264336673764,0.0004223623200289,0.0,0.0,0.0,0.0,0.0010269,1.0371515479106502e-05,637.8055165650385,0.1640232835947668,0.0,0.0
tallies_FLiBe_900K_Li07.5_Th232_0000.01kgm3_4e5x25,10000000,0.01,0.007732999999999999,1.0941772510121075,0.0003668500422957,0.1003361269265005,5.109704409689095e-05,0.1061344749421916,5.0820474936073865e-05,0.0,0.0,0.0,0.0,1.2567866502245278e-05,1.3265264066495138e-08,0.0,0.0,0.0,0.0,2.5547732968204016e-06,3.3406356612848265e-08,0.0,0.0,0.0,0.0,6.713071419811619e-05,2.3678883741589266e-08,0.313403371860684,6.783735850416248e-05,4.651903626595176,0.0009715889484429,10.857645503739342,0.0024267218135187,0.0,0.0,1.4951379867601618e-07,6.724492986207863e-11,4.973024794493263e-07,2.2710097945631832e-10,1.1945133779386083,0.0004179470863926,0.0,0.0,0.0543966122070117,5.741510900993669e-05,0.0010269,1.033428759034764e-05,637.8063276254899,0.1637961233473155,0.0015297597527857,6.872901836689425e-07
tallies_FLiBe_900K_Li07.5_Th232_0000.01kgm3_4e4x25,1000000,0.01,0.007732999999999999,1.0936168429225828,0.0013660404671234,0.1005093194084043,0.0001261921548226,0.1062668736167826,0.0001262285921038,0.0,0.0,0.0,0.0,1.2578355024335013e-05,3.9297288805392136e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.708035346819903e-05,7.626967604628243e-08,0.3134304042685898,0.0002393016888366,4.65171522896604,0.0033816133162047,10.855133679104569,0.0093994820884956,0.0,0.0,1.4970167631552934e-07,1.6423430930894667e-10,4.979531199519715e-07,5.639367850431443e-10,1.1941261623309871,0.001492232621946,0.0,0.0,0.0544420089391172,0.0001700876898678,0.001032,3.209750769140767e-05,638.0485257091591,0.4929250593271331,0.0015316708944593,1.675657922852402e-06
tallies_FLiBe_900K_Li07.5_Th232_0000.10kgm3_4e4x25,1000000,0.1,0.07733,1.0936233149970789,0.0013579433033755,0.100506427659149,0.0001262659524358,0.1062628849941269,0.0001264409612865,0.0,0.0,0.0,0.0,0.0001257197450104,4.0165724707239133e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006707434788407,7.737021281133241e-07,0.313429199919828,0.0002399133117903,4.65170322477201,0.0033927692709503,10.855125848232214,0.0094070017681409,0.0,0.0,1.4970040454433866e-06,1.6422255716043095e-09,4.979493360945471e-06,5.641916664124669e-09,1.194129742656228,0.0014842092558114,0.0,0.0,0.5441439256916561,0.0017384647987173,0.001031,3.199218654609251e-05,638.0928425068697,0.4950143511108289,0.0153165770360336,1.6754031993914018e-05
tallies_FLiBe_900K_Li07.5_Th232_0000.10kgm3_4e5x25,10000000,0.1,0.07733,1.094057651988252,0.0003728881340627,0.1003324125761414,5.1068651412129634e-05,0.1061305367840905,5.0747291492915126e-05,0.0,0.0,0.0,0.0,0.0001256010292778,1.3529987469603436e-07,0.0,0.0,0.0,0.0,2.5547512348408448e-05,3.392949033948871e-07,0.0,0.0,0.0,0.0,0.0006712053864448,2.4049321280926985e-07,0.3133942442513706,6.84272319333918e-05,4.651760859199309,0.0009803134481261,10.857286003628223,0.0024494319562476,0.0,0.0,1.495111407261308e-06,6.715010704107922e-10,4.972946353344558e-06,2.2672305645865133e-09,1.1943900645643937,0.0004239567854748,0.0,0.0,0.5436300967398513,0.0005856089268757,0.001027,1.0521802760618263e-05,637.8131034006313,0.1647397769419083,0.0152973216960901,6.863429995805167e-06
tallies_FLiBe_900K_Li07.5_Th232_0000.50kgm3_4e4x25,1000000,0.5,0.38665,1.093431746597565,0.0014260601247764,0.1004964868876942,0.0001254236071293,0.106248536718135,0.0001250848667702,0.0,0.0,0.0,0.0,0.0006270366499639,2.001691725237976e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033517800031832,3.824327848055558e-06,0.3134162150099034,0.0002419646477691,4.651401845909694,0.0034326579338782,10.854392813770009,0.0094732489292989,0.0,0.0,7.484829985181642e-06,8.172223341682305e-09,2.4896974744402405e-05,2.8057488281551688e-08,1.193928233485259,0.0015514837319058,0.0,0.0,2.713958608772467,0.0086637814394592,0.001031,3.289123490131295e-05,638.2288480003115,0.5132632712282417,0.0765808811075031,8.338170868289937e-05
tallies_FLiBe_900K_Li07.5_Th232_0001.00kgm3_4e4x25,1000000,1.0,0.7733,1.092961956316593,0.0013641899529598,0.100469104183054,0.0001230537055873,0.1062219069439656,0.0001233896121628,0.0,0.0,0.0,0.0,0.0012508234041628,3.7441902959517687e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066985762904343,7.357341429752679e-06,0.313395051300282,0.0002411825257982,4.651065051657813,0.0033961013739028,10.85366222255384,0.0093720521346785,0.0,0.0,1.4968102850222848e-05,1.6117046350631564e-08,4.978873564376406e-05,5.536657113244285e-08,1.193431060499647,0.0014872436585471,0.0,0.0,5.413850922393509,0.0162057153870753,0.001032,3.235609164696246e-05,638.3125673596115,0.4973160801257133,0.1531458524228438,0.0001644373604761
tallies_FLiBe_900K_Li07.5_Th232_0001.00kgm3_4e5x25,10000000,1.0,0.7733,1.0930661206546566,0.0003927050579961,0.1003049164362199,5.099324910980445e-05,0.1061013934240152,5.073567992068215e-05,0.0,0.0,0.0,0.0,0.0012492762469984,1.385876273957453e-06,0.0,0.0,0.0,0.0,0.000255464941111,3.3663661945381184e-06,0.0,0.0,0.0,0.0,0.0067024283049825,2.3851947609882504e-06,0.3133147233261208,6.944724669889131e-05,4.650494133969663,0.0009920284117422,10.85405211071777,0.0024795025319504,0.0,0.0,1.4949865394829084e-05,6.720439137531618e-09,4.97256378802132e-05,2.269179301034404e-08,1.1933710370908766,0.0004436983071059,0.0,0.0,5.407154470909041,0.0059983907553357,0.0010267,1.1043210583882918e-05,637.954910766409,0.1682058728361112,0.1529603124102938,6.868826351907897e-05
tallies_FLiBe_900K_Li07.5_Th232_0010.00kgm3_4e4x25,1000000,10.0,7.733,1.0832440071182767,0.0011485170655283,0.1002025526422124,0.0001190389621766,0.1059476847309055,0.0001218140162606,0.0,0.0,0.0,0.0,0.0119115183467237,3.1785766704078895e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0661915956093204,7.300382462172632e-05,0.312727484831356,0.0002365082825336,4.640357336253364,0.0032865577367742,10.826270638793016,0.0090305484745453,0.0,0.0,0.0001495837524173,1.5874346687557568e-07,0.0004975754899825,5.378648724576322e-07,1.1834465597604893,0.0012675560277049,0.0,0.0,51.55578667132399,0.1375760973268955,0.001032,3.483652297996096e-05,639.6844442065986,0.4408992457557225,1.530458862728091,0.0016230374052603
