filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","U235(n,inel)","U235(n,inel)_sd","U238(n,inel)","U238(n,inel)_sd","Th232(n,inel)","Th232(n,inel)_sd","U235(n,el)","U235(n,el)_sd","U238(n,el)","U238(n,el)_sd","Th232(n,el)","Th232(n,el)_sd","Li6(n,el)","Li6(n,el)_sd","Li7(n,el)","Li7(n,el)_sd","Be9(n,el)","Be9(n,el)_sd","Pb(n,el)","Pb(n,el)_sd","tot(n,fis)","tot(n,fis)_sd","tot(n,nufis)","tot(n,nufis)_sd",tbr,tbr_sd,Pu239_kg/yr,Pu239_kg/yr_sd,U233_kg/yr,U233_kg/yr_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_FLiBe_900K_Li07.5_U238_0000.00kgm3_4e4x25,0.0,0.0,1.0935907884568477,0.0013651296107458,0.1005096923394351,0.000126141225487,0.1062668222881829,0.0001261360060982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134269715103459,0.0002391378893165,4.651656804741968,0.0033794149007575,10.854962497742502,0.0093889493041556,0.0,0.0,0.0,0.0,0.0,0.0,1.194100480796283,0.0014912708362329,0.0,0.0,0.0,0.0,0.001032,3.209750769140767e-05,638.0360555110526,0.4915005517702792,0.0,0.0
tallies_FLiBe_900K_Li07.5_U238_0000.00kgm3_4e3x25,0.0,0.0,1.089380048746918,0.0050546367317117,0.1004857680247502,0.0004509842930837,0.1064251328370013,0.0004512792318039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125701513599758,0.0007643310800217,4.637862736850937,0.0112073333021533,10.81902594722947,0.0298929981557401,0.0,0.0,0.0,0.0,0.0,0.0,1.189865816771668,0.0055056210247955,0.0,0.0,0.0,0.0,0.00113,0.00012172373091,636.8389309877917,1.7851687536699012,0.0,0.0
tallies_FLiBe_900K_Li07.5_U238_0000.00kgm3_4e5x25,0.0,0.0,1.0941898207076288,0.0003712567096563,0.1003366129597512,5.1105610348530525e-05,0.2266582542673222,0.0001053852916749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3134038470180955,6.786337335000176e-05,4.651910679536634,0.0009728856508133,17.4179598207631,0.0046614281670633,0.0,0.0,0.0,0.0,0.0,0.0,1.19452643366738,0.0004223623200049,0.0,0.0,0.0,0.0,0.0010269,1.0371515479106502e-05,939.6023264126638,0.2621037939169732,0.0,0.0
tallies_FLiBe_900K_Li07.5_U238_0000.01kgm3_4e4x25,0.01,0.007732999999999999,1.0936097675601872,0.0013670078756969,0.100509348107566,0.0001262174237778,0.1062668272072629,0.0001262380284109,0.0,0.0,1.6501043053073937e-05,7.326670785010557e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.180870790108315e-07,2.770368799860913e-10,7.684214092603806e-05,1.1511195415388466e-07,0.0,0.0,0.3134301660071216,0.0002388294540236,4.651708120227357,0.0033742075073323,10.855113697554488,0.0093869221630139,0.0,0.0,7.173323533629712e-07,6.050128336915081e-10,2.4019458099742013e-06,2.184883935097466e-09,1.194119115667753,0.0014932252994747,0.073262979697818,0.0003252968501738,0.0,0.0,0.001032,3.209750769140767e-05,638.0536630032411,0.4932193984235993,0.0077577303849206,6.196857921900754e-06
tallies_FLiBe_900K_Li07.5_U238_0000.10kgm3_4e4x25,0.1,0.07733,1.093598846714649,0.0013710552717966,0.1005080943523572,0.0001256635100113,0.1062654347116835,0.0001259094866513,0.0,0.0,0.0001647387878659,7.440095769624227e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.180952438974361e-06,2.7576348522423527e-09,0.0007681342978078,1.1616775605860392e-06,0.0,0.0,0.3134329228757508,0.000238022673455,4.651751113919371,0.0033675355427606,10.85519094346368,0.0093458689131734,0.0,0.0,7.173225235949635e-06,6.038066033935171e-09,2.4019220351767792e-05,2.1803185576579052e-08,1.194106941067006,0.001496718781808,0.731423730733079,0.0033033280597268,0.0,0.0,0.001032,3.209750769140767e-05,638.1614676097961,0.493561722189154,0.0775762266149284,6.165004307016005e-05
tallies_FLiBe_900K_Li07.5_U238_0000.50kgm3_4e4x25,0.5,0.38665,1.0930773225275845,0.0014077779573831,0.1004961210399373,0.0001248140862254,0.1062504988483786,0.0001244932975945,0.0,0.0,0.0008183342581845,3.699406328933859e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5905304053782455e-05,1.3870298811985373e-08,0.0038337254900884,5.568916019006635e-06,0.0,0.0,0.3134240049181786,0.0002404547251787,4.651573075706489,0.0034016721751468,10.854689760057322,0.009420084359231,0.0,0.0,3.586187916377924e-05,3.012783482505515e-08,0.0001200848648249,1.0851325768585393e-07,1.1935734435675216,0.0015325920436086,3.6333222057885615,0.0164249938563836,0.0,0.0,0.001032,3.1836823543395715e-05,638.4921880538691,0.5088226853332176,0.3878344764796705,0.0003120748019775
tallies_FLiBe_900K_Li07.5_U238_0001.00kgm3_4e4x25,1.0,0.7733,1.0920901433325585,0.0014029468685875,0.1004768839036997,0.0001254481802771,0.1062324487944989,0.0001256843701032,0.0,0.0,0.0016210034278053,7.417428995754876e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1808691301691046e-05,2.7658184442463523e-08,0.0076475787808947,1.0605424549362645e-05,0.0,0.0,0.3133951367047025,0.0002406982932403,4.651038963503765,0.0034067545856345,10.853040406188567,0.0094022868915773,0.0,0.0,7.170897267651526e-05,6.08629062024389e-08,0.0002401296393284,2.1874340271354385e-07,1.192567027236258,0.0015283950488646,7.197092986147578,0.0329326423898254,0.0,0.0,0.001035,3.322900339562846e-05,638.8060977737323,0.5086549123075562,0.7755071510206832,0.000630503377412
tallies_FLiBe_900K_Li07.5_U238_0010.00kgm3_4e4x25,10.0,7.733,1.0823521211950151,0.0012099212536223,0.1002333654118991,0.0001189104958923,0.105992744518054,0.0001220349448979,0.0,0.0,0.0143462007918415,4.602908935552854e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003182083747307,2.687941480292789e-07,0.0738940224196788,9.31640716328988e-05,0.0,0.0,0.3130429333094385,0.0002359118433123,4.645221343611768,0.0033412094255217,10.83824693844881,0.0091904829456075,0.0,0.0,0.0007158571224387,5.936358263756518e-07,0.0023980235404667,2.10893333448319e-06,1.1825854866069143,0.0013288317495147,63.695695718927,0.2043645500540002,0.0,0.0,0.001049,3.627097094555551e-05,646.3246187082893,0.4338595792958236,7.741565756642876,0.0057904275946521
tallies_FLiBe_900K_Li07.5_U238_0025.00kgm3_4e4x25,25.0,19.3325,1.0689932528605792,0.0012029844479821,0.0998342705440739,0.0001208970691417,0.1056037086481113,0.0001214742654119,0.0,0.0,0.0311867681200853,9.41181328534566e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007958459913992,7.008811166108624e-07,0.1777594223425895,0.0002173507300776,0.0,0.0,0.3124571374497025,0.000240823706176,4.635080220494263,0.0034807470377105,10.81136807780579,0.0095987273302468,0.0,0.0,0.0017850348455782,1.4755611315364571e-06,0.0059826707799565,5.290013577388428e-06,1.1688275234046532,0.0013238815171239,138.46612921822168,0.417875090335869,0.0,0.0,0.001011,3.663104330118546e-05,658.5055907258024,0.4530808531081055,19.3034529921742,0.0142354772063339
tallies_FLiBe_900K_Li07.5_U238_0050.00kgm3_4e4x25,50.0,38.665,1.0523236193623668,0.0012881425421459,0.0991823360743035,0.0001238352213257,0.1049452490680363,0.0001320321744828,0.0,0.0,0.0533187945644118,0.0001857592549483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015930362104658,1.2369733380921915e-06,0.3414536210872628,0.0004000779838199,0.0,0.0,0.3114655847911638,0.0002209391858684,4.618074998581868,0.003210324133957,10.768388692713438,0.0084576701660093,0.0,0.0,0.0035587416214426,3.2320212852604755e-06,0.0119335326145871,1.1373389825729098e-05,1.1515059554366702,0.0014119777634717,236.73011161297137,0.8247525008081178,0.0,0.0,0.001,2.8795254238618488e-05,678.6941044900824,0.5420151440004674,38.48319163259723,0.0334498784577344
