filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","U238(n,g)",tbr,Pu239_kg/yr
tallies_FLiBe_900K_Li07.5_U000.00kgm3,0,0,1.068574484,0.107098033,0,1.175672517,0
tallies_FLiBe_900K_Li07.5_U000.03kgm3,0.03,0.023154,1.068542553,0.107097313,3.65E-05,1.175639866,0.162035874
tallies_FLiBe_900K_Li07.5_U000.30kgm3,0.3,0.23154,1.06828413,0.107089071,0.000363625,1.175373201,1.614139018
tallies_FLiBe_900K_Li07.5_U000.60kgm3,0.6,0.46308,1.067930102,0.10708085,0.000723826,1.175010952,3.213079675
tallies_FLiBe_900K_Li07.5_U001.50kgm3,1.5,1.1577,1.0671272,0.107055144,0.001785742,1.174182344,7.926943496
tallies_FLiBe_900K_Li07.5_U003.00kgm3,3,2.3154,1.065650143,0.107007719,0.003500177,1.172657862,15.537354
tallies_FLiBe_900K_Li07.5_U007.50kgm3,7.5,5.7885,1.061825223,0.106880805,0.008290647,1.168706029,36.80234882
tallies_FLiBe_900K_Li07.5_U015.00kgm3,15,11.577,1.056500682,0.106664748,0.015409993,1.163165431,68.40526554
tallies_FLiBe_900K_Li07.5_U030.00kgm3,30,23.154,1.047480324,0.106238902,0.027612259,1.153719225,122.5713687
tallies_FLiBe_900K_Li07.5_U045.00kgm3,45,34.731,1.039612122,0.105818657,0.038193761,1.14543078,169.542866
tallies_FLiBe_900K_Li07.5_U060.00kgm3,60,46.308,1.032960819,0.105395842,0.047762513,1.138356661,212.018744
tallies_FLiBe_900K_Li07.5_U075.00kgm3,75,57.885,1.027007849,0.104976891,0.056556317,1.131984741,251.0546153
tallies_FLiBe_900K_Li07.5_U090.00kgm3,90,69.462,1.021881195,0.104563793,0.064913589,1.126444988,288.1527123
tallies_FLiBe_900K_Li07.5_U105.00kgm3,105,81.039,1.016620978,0.104157196,0.072783295,1.120778174,323.0864924
tallies_FLiBe_900K_Li07.5_U120.00kgm3,120,92.616,1.011974386,0.103754767,0.080281924,1.115729153,356.3730596
tallies_FLiBe_900K_Li07.5_U135.00kgm3,135,104.193,1.007783021,0.103355209,0.087458607,1.11113823,388.2304946
tallies_FLiBe_900K_Li07.5_U150.00kgm3,150,115.77,1.003687056,0.1029685,0.094430944,1.106655556,419.180841
tallies_FLiBe_900K_Li07.5_U250.00kgm3,250,192.95,0.978599922,0.100373656,0.136089594,1.078973578,604.1044173
tallies_FLiBe_900K_Li07.5_U500.00kgm3,500,385.9,0.933356811,0.094466134,0.221669598,1.027822945,983.9957571
tallies_FLiBe_900K_Li07.5_U750.00kgm3,750,578.85,0.897457462,0.089179975,0.29305933,0.986637438,1300.896195
tallies_FLiBe_900K_Li07.5_U1000.00kgm3,1000,771.8,0.866091922,0.084449996,0.356243565,0.950541919,1581.372272
