filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li6(n,t)_sd","Li7(n,Xt)","Li7(n,Xt)_sd","Be9(n,2n)","Be9(n,2n)_sd","Pb(n,2n)","Pb(n,2n)_sd","U238(n,g)","U238(n,g)_sd","Th232(n,g)","Th232(n,g)_sd","tot(n,fis)","tot(n,fis)_sd","tot(n,nufis)","tot(n,nufis)_sd",tbr,tbr_sd,Pu239_kg/yr,Pu239_kg/yr_sd,U233_kg/yr,U233_kg/yr_sd,leak [n/src-n],leak_sd,heat [MW],heat_sd,fisq [MW],fisq_sd
tallies_HCPB_900K_Li60.0_U238_000.00kgm3_4e6x25,0.0,0.0,1.3892885946782898,0.0002233122688701,0.0153932562560562,3.66473046255153e-06,0.5245333593396384,0.0001218308462467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4046818509343462,0.0002269769993327,0.0,0.0,0.0,0.0,0.0577937853003871,3.3679648214252844e-05,1024.611758267989,0.1367315351731911,0.0,0.0
tallies_HCPB_900K_Li60.0_U238_000.10kgm3_4e6x25,0.1,0.026519364000000004,1.3892653601965148,0.0002235620466619,0.0153928387192961,3.662944765636693e-06,0.5245176179936217,0.0001223658242411,0.0,0.0,3.5229467857251256e-05,1.689509226927475e-08,0.0,0.0,3.985835114843542e-06,6.837198479636646e-10,1.407945453082995e-05,2.6146399464958482e-09,1.4046581989158111,0.0002272249914275,0.1564153114496554,7.501251878050554e-05,0.0,0.0,0.0577911305757947,3.3918877824181166e-05,1024.655344738581,0.1366023899741464,0.0429367488554852,7.638386150991117e-06
tallies_HCPB_900K_Li60.0_U238_000.50kgm3_4e6x25,0.5,0.13259682,1.3891216485052658,0.0002302809883233,0.0153911475528188,3.635665615083613e-06,0.52446549607638,0.0001209862139209,0.0,0.0,0.0001758392121254,8.302202794326463e-08,0.0,0.0,1.992729555316246e-05,3.390669081252944e-09,7.039054210089362e-05,1.2964554000504956e-08,1.4045127960580848,0.0002339166539384,0.780708503492221,0.0003686094950552,0.0,0.0,0.0577840658842692,3.363544177849711e-05,1024.8225764876952,0.137133477421323,0.2146635254989321,3.797421901660024e-05
tallies_HCPB_900K_Li60.0_U238_001.00kgm3_4e6x25,1.0,0.26519364,1.3889544084770575,0.0002290601039314,0.0153891903728019,3.6302114722809618e-06,0.5244008846042081,0.0001206175217974,0.0,0.0,0.0003509370947518,1.6198951774338598e-07,0.0,0.0,3.985021893973645e-05,6.7950149816035805e-09,0.0001407653620855,2.594877780896186e-08,1.4043435988498596,0.0002326903154036,1.558125578202422,0.0007192172465414,0.0,0.0,0.0577890918386839,3.367450515040932e-05,1025.0345696917163,0.1358388892662229,0.4292800492984144,7.600145705926643e-05
tallies_HCPB_900K_Li60.0_U238_010.00kgm3_4e6x25,10.0,2.6519364,1.3857515576373518,0.000228172882523,0.0153524723211926,3.62500133623037e-06,0.5231965480880305,0.0001206907117229,0.0,0.0,0.0033895635450891,1.8669090650738249e-06,0.0,0.0,0.0003976546731698,6.80411563781954e-08,0.0014046369503876,2.586996461559007e-07,1.4011040299585444,0.0002317978838592,15.049322905806978,0.008288889404885,0.0,0.0,0.0578409819723821,3.0943988808396096e-05,1028.753679012688,0.1368111655775292,4.283678982356721,0.0007593555889858
tallies_HCPB_900K_Li60.0_U238_025.00kgm3_4e6x25,25.0,6.629841000000001,1.3807630614847943,0.000290045363449,0.0152919615033997,3.591250429459004e-06,0.5212020446039284,0.0001203003597121,0.0,0.0,0.0080633010854925,4.248377378325188e-06,0.0,0.0,0.0009906693143894,1.7304071619404182e-07,0.0034992330070791,6.507623552129315e-07,1.396055022988194,0.0002936366138785,35.80024982807308,0.0188623703735459,0.0,0.0,0.0579056703276833,3.034736921855561e-05,1034.9106506920186,0.1613086618985466,10.671881973296422,0.0020054623609246
tallies_HCPB_900K_Li60.0_U238_050.00kgm3_4e6x25,50.0,13.259682000000002,1.3736133112176196,0.0002588745527991,0.0151921343845778,3.6519051353982777e-06,0.5179319750701031,0.0001208948226722,0.0,0.0,0.0150779759753007,6.412084252575876e-06,0.0,0.0,0.0019700816852812,3.454139456036193e-07,0.0069580708918441,1.3126212858872172e-06,1.3888054456021974,0.0002625264579345,66.94470429594253,0.0284690123470499,0.0,0.0,0.0579866784155193,3.156813408539176e-05,1045.237859069506,0.1506696837925085,21.222686975059,0.00387452390538
tallies_HCPB_900K_Li60.0_U238_075.00kgm3_4e6x25,75.0,19.889523,1.3670003548087206,0.0002420433252537,0.0150927113869127,3.5037782742275647e-06,0.5146733234734719,0.0001159585502391,0.0,0.0,0.0214096753327165,7.37398978000707e-06,0.0,0.0,0.0029385364277866,5.150898332014019e-07,0.01037739832725,1.944606480029221e-06,1.3820930661956334,0.0002455471035279,95.05681575356476,0.0327397766193898,0.0,0.0,0.0581163210145488,3.3938045736882495e-05,1055.4047833825923,0.1552707595010563,31.65567361290838,0.0059222310595429
tallies_HCPB_900K_Li60.0_U238_100.00kgm3_4e6x25,100.0,26.519364000000003,1.3607873067297531,0.0001867568961887,0.0149952994207893,3.447244508676863e-06,0.5114874334948343,0.0001144189673476,0.0,0.0,0.0272782755621571,1.0341462202269749e-05,0.0,0.0,0.0038964235298789,6.585298157878708e-07,0.0137585453660851,2.498867961440115e-06,1.3757826061505425,0.0001902041406973,121.1128134308767,0.0459150571835822,0.0,0.0,0.0582161596694499,3.238629559436972e-05,1065.4849680623515,0.1452966474757852,41.97506310457919,0.0075409135707061
tallies_HCPB_900K_Li60.0_U238_150.00kgm3_4e6x25,150.0,39.779046,1.3490976940550556,0.0001959990265781,0.0148050265727139,3.355367959881005e-06,0.5052221814027135,0.0001112906739971,0.0,0.0,0.0379842451448906,1.26687908500908e-05,0.0,0.0,0.0057811228177518,9.644517057422883e-07,0.0204086761915388,3.655538809012341e-06,1.3639027206277698,0.000199354394538,168.6462469030803,0.0562481634561399,0.0,0.0,0.0584351362462331,3.841915208093066e-05,1085.2588841530874,0.1551676225898539,62.27973209600343,0.0112442756755977
