filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","U238(n,g)",tbr,Pu239_kg/yr
tallies_LL_900K_Li90.0_U000.00kgm3,0,0,1.402575407,0.001954738,0,1.404530145,0
tallies_LL_900K_Li90.0_U000.03kgm3,0.03,0.012819,1.40256154,0.001954708,5.54E-06,1.404516248,0.024580272
tallies_LL_900K_Li90.0_U000.30kgm3,0.3,0.12819,1.402604273,0.001954572,5.54E-05,1.404558845,0.245837992
tallies_LL_900K_Li90.0_U000.60kgm3,0.6,0.25638,1.402579772,0.001954517,0.000110784,1.404534289,0.491771316
tallies_LL_900K_Li90.0_U001.50kgm3,1.5,0.64095,1.402450119,0.001954119,0.000277026,1.404404238,1.229723776
tallies_LL_900K_Li90.0_U003.00kgm3,3,1.2819,1.40230008,0.001953456,0.000554278,1.404253536,2.460449275
tallies_LL_900K_Li90.0_U007.50kgm3,7.5,3.20475,1.402171113,0.001951619,0.001387437,1.404122732,6.158861742
tallies_LL_900K_Li90.0_U015.00kgm3,15,6.4095,1.40265679,0.001948477,0.00278265,1.404605266,12.35223653
tallies_LL_900K_Li90.0_U030.00kgm3,30,12.819,1.402726136,0.001942235,0.005592199,1.404668371,24.82388179
tallies_LL_900K_Li90.0_U045.00kgm3,45,19.2285,1.402904779,0.001935861,0.008431353,1.40484064,37.42694176
tallies_LL_900K_Li90.0_U060.00kgm3,60,25.638,1.40350682,0.00192981,0.011300587,1.405436631,50.16352849
tallies_LL_900K_Li90.0_U075.00kgm3,75,32.0475,1.404069658,0.001923541,0.01420421,1.405993199,63.05277173
tallies_LL_900K_Li90.0_U090.00kgm3,90,38.457,1.404046611,0.001917048,0.017127871,1.405963659,76.03095923
tallies_LL_900K_Li90.0_U105.00kgm3,105,44.8665,1.40344131,0.001911079,0.020071386,1.405352389,89.0972836
tallies_LL_900K_Li90.0_U120.00kgm3,120,51.276,1.404063103,0.001904638,0.023069248,1.405967741,102.4048487
tallies_LL_900K_Li90.0_U135.00kgm3,135,57.6855,1.403366415,0.001898142,0.026058372,1.405264558,115.6736332
tallies_LL_900K_Li90.0_U150.00kgm3,150,64.095,1.403124886,0.001892092,0.029101284,1.405016978,129.1811784
tallies_LL_900K_Li90.0_U250.00kgm3,250,106.825,1.399040095,0.00185041,0.050032959,1.400890505,222.0973015
tallies_LL_900K_Li90.0_U500.00kgm3,500,213.65,1.378274497,0.001745496,0.107217496,1.380019994,475.9405959
tallies_LL_900K_Li90.0_U750.00kgm3,750,320.475,1.344048515,0.001639971,0.170487715,1.345688486,756.7983567
tallies_LL_900K_Li90.0_U1000.00kgm3,1000,427.3,1.298814446,0.00153424,0.238430884,1.300348686,1058.399437
