filename,fertile_kg/m3,fertile_mt,tbr,Pu239_kg/yr
tallies_LL_294K_Li90.0_U000.00kgm3,0.0,0.0,1.4017648481647005,0.0
tallies_LL_294K_Li90.0_U000.03kgm3,0.03,0.012818999999999999,1.4016379801341547,0.0249473951336218
tallies_LL_294K_Li90.0_U000.30kgm3,0.3,0.12819,1.4018018191508297,0.2495476984774373
tallies_LL_294K_Li90.0_U000.60kgm3,0.6,0.25638,1.4023945285279278,0.4993477471790132
tallies_LL_294K_Li90.0_U001.50kgm3,1.5,0.64095,1.4029673780108285,1.2494878089105648
tallies_LL_294K_Li90.0_U003.00kgm3,3.0,1.2819,1.4037538140467696,2.499600880444127
tallies_LL_294K_Li90.0_U007.50kgm3,7.5,3.20475,1.403593895682394,6.251036737626091
tallies_LL_294K_Li90.0_U015.00kgm3,15.0,6.4095,1.404119414546789,12.52085067900296
tallies_LL_294K_Li90.0_U030.00kgm3,30.0,12.819,1.4038306497766202,25.071677263643856
tallies_LL_294K_Li90.0_U045.00kgm3,45.0,19.2285,1.4037745915859772,37.657560313272505
tallies_LL_294K_Li90.0_U060.00kgm3,60.0,25.638,1.4062016816034122,50.373508959412064
tallies_LL_294K_Li90.0_U075.00kgm3,75.0,32.0475,1.4058319576112566,63.03902447529777
tallies_LL_294K_Li90.0_U090.00kgm3,90.0,38.457,1.4045458458010658,75.63058045773646
tallies_LL_294K_Li90.0_U105.00kgm3,105.0,44.8665,1.404220289288969,88.40564575635369
tallies_LL_294K_Li90.0_U120.00kgm3,120.0,51.276,1.4045183000919543,101.15288299084536
tallies_LL_294K_Li90.0_U135.00kgm3,135.0,57.6855,1.404320829147691,113.92425569183136
tallies_LL_294K_Li90.0_U150.00kgm3,150.0,64.095,1.4030148787361576,126.65762112377443
