filename,fertile_kg/m3,fertile_mt,"Li6(n,t)","Li7(n,Xt)","U238(n,g)",tbr,Pu239_kg/yr
tallies_PB_900K_Li60.0_U000.00kgm3,0.0,0.0,1.3836532397227994,0.0158267400059795,4.574018147716309e-05,1.399479979728779,0.2030415755455816
tallies_PB_900K_Li60.0_U000.03kgm3,0.03,0.015618,1.3836148433043207,0.0158263621255097,6.542900711621268e-05,1.3994412054298304,0.2904406642525383
tallies_PB_900K_Li60.0_U000.30kgm3,0.3,0.15618,1.3835315212407937,0.0158243417385777,0.0002422094612109,1.3993558629793714,1.0751726169005904
tallies_PB_900K_Li60.0_U000.60kgm3,0.6,0.31236,1.3832992235072816,0.0158222415601162,0.0004376856488278,1.3991214650673978,1.9428953025922395
tallies_PB_900K_Li60.0_U001.50kgm3,1.5,0.7809,1.382742598430112,0.0158188060988139,0.0010180186602682,1.398561404528926,4.519005085689669
tallies_PB_900K_Li60.0_U003.00kgm3,3.0,1.5618,1.382023328239014,0.0158101190794209,0.0019688066549849,1.397833447318435,8.739571909489737
tallies_PB_900K_Li60.0_U007.50kgm3,7.5,3.9045,1.3795976566708024,0.0157828171016906,0.0047110515512721,1.395380473772493,20.912451559124804
tallies_PB_900K_Li60.0_U015.00kgm3,15.0,7.809,1.3759452050365268,0.0157372609811784,0.0089811170646811,1.3916824660177052,39.867357323071126
tallies_PB_900K_Li60.0_U030.00kgm3,30.0,15.618,1.3689513352914886,0.0156475026323842,0.0166803181585933,1.384598837923873,74.04426414908977
tallies_PB_900K_Li60.0_U045.00kgm3,45.0,23.427,1.36278614238948,0.0155599668179478,0.023626446576547,1.3783461092074278,104.87826638468236
tallies_PB_900K_Li60.0_U060.00kgm3,60.0,31.236,1.3572891047785682,0.015468915468627,0.0300509676841401,1.3727580202471952,133.3968433925769
tallies_PB_900K_Li60.0_U075.00kgm3,75.0,39.045,1.3519869016014396,0.015379944744192,0.0360869116386287,1.367366846345632,160.190518687374
tallies_PB_900K_Li60.0_U090.00kgm3,90.0,46.854,1.3472422153048322,0.0152939615367547,0.0418340679444233,1.362536176841587,185.70225986439272
tallies_PB_900K_Li60.0_U105.00kgm3,105.0,54.663,1.3423085579028902,0.0152089294421564,0.047285835635536,1.3575174873450466,209.90276510429192
tallies_PB_900K_Li60.0_U120.00kgm3,120.0,62.472,1.3373396806465347,0.0151262048513383,0.0525138582481103,1.3524658854978733,233.11006148930957
tallies_PB_900K_Li60.0_U135.00kgm3,135.0,70.281,1.3332006111771424,0.015041113473453,0.0575943900155414,1.348241724650595,255.6626430785107
tallies_PB_900K_Li60.0_U150.00kgm3,150.0,78.09,1.3285254567025018,0.0149603353659941,0.0624862064711418,1.343485792068496,277.37751364413805
