fertile_kg/m3,isotope,factor
0.1,Th232,1.3876048646020565
0.5,Th232,1.402367405840891
1.5,Th232,1.4028556750668257
15.0,Th232,1.4408802534068132
30.0,Th232,1.4462453978762575
60.0,Th232,1.466003894516165
90.0,Th232,1.4903826853273192
120.0,Th232,1.5204047194883459
150.0,Th232,1.5200960710183156
500.0,Th232,1.6006721172334741
750.0,Th232,1.6126378605470382
999.99,Th232,1.6121281113960764
0.1,U238,0.6076881552903152
0.5,U238,0.610281671276773
1.5,U238,0.6118415778407461
15.0,U238,0.6417036350137469
30.0,U238,0.6670507174737187
60.0,U238,0.6985304832355365
90.0,U238,0.7326748367482043
120.0,U238,0.7547891354038281
150.0,U238,0.7685069388304482
500.0,U238,0.8590945702938715
750.0,U238,0.8715369024329638
999.99,U238,0.8763020341028538
