Th-232(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 373.446
1.03125E-05 367.744
1.06250E-05 362.296
1.09375E-05 357.083
1.12500E-05 352.088
1.15625E-05 347.298
1.18750E-05 342.698
1.21875E-05 338.275
1.25000E-05 334.020
1.28125E-05 329.922
1.31250E-05 325.970
1.34375E-05 322.158
1.37500E-05 318.476
1.43750E-05 311.475
1.50000E-05 304.917
1.56250E-05 298.756
1.62500E-05 292.955
1.68750E-05 287.478
1.75000E-05 282.298
1.81250E-05 277.388
1.87500E-05 272.726
1.93750E-05 268.291
2.00000E-05 264.065
2.09375E-05 258.085
2.18750E-05 252.494
2.28125E-05 247.252
2.37500E-05 242.322
2.46875E-05 237.677
2.56250E-05 233.288
2.65625E-05 229.134
2.75000E-05 225.195
2.84375E-05 221.452
2.93750E-05 217.889
3.03125E-05 214.493
3.12500E-05 211.251
3.21875E-05 208.152
3.31250E-05 205.185
3.40625E-05 202.342
3.50000E-05 199.613
3.59375E-05 196.992
3.68750E-05 194.472
3.78125E-05 192.046
3.87500E-05 189.708
3.96875E-05 187.454
4.06250E-05 185.279
4.25000E-05 181.145
4.43750E-05 177.277
4.62500E-05 173.646
4.81250E-05 170.230
5.00000E-05 167.007
5.15625E-05 164.457
5.31250E-05 162.021
5.46875E-05 159.689
5.62500E-05 157.455
5.78125E-05 155.313
5.93750E-05 153.256
6.09375E-05 151.278
6.25000E-05 149.375
6.40625E-05 147.542
6.56250E-05 145.775
6.71875E-05 144.070
6.87500E-05 142.423
7.18750E-05 139.292
7.50000E-05 136.359
7.81250E-05 133.604
8.12500E-05 131.009
8.43750E-05 128.560
8.75000E-05 126.243
9.06250E-05 124.047
9.37500E-05 121.962
9.68750E-05 119.979
0.000100000 118.089
0.000103125 116.286
0.000106250 114.563
0.000109375 112.914
0.000112500 111.335
0.000115625 109.820
0.000118750 108.365
0.000121875 106.967
0.000125000 105.621
0.000128125 104.325
0.000131250 103.075
0.000134375 101.869
0.000137500 100.705
0.000143750 98.4910
0.000150000 96.4170
0.000156250 94.4687
0.000162500 92.6339
0.000168750 90.9020
0.000175000 89.2637
0.000181250 87.7109
0.000187500 86.2364
0.000193750 84.8339
0.000200000 83.4976
0.000209375 81.6064
0.000218750 79.8382
0.000228125 78.1801
0.000237500 76.6212
0.000246875 75.1520
0.000256250 73.7641
0.000265625 72.4504
0.000275000 71.2044
0.000284375 70.0205
0.000293750 68.8938
0.000303125 67.8198
0.000312500 66.7944
0.000321875 65.8142
0.000331250 64.8759
0.000340625 63.9766
0.000350000 63.1137
0.000359375 62.2847
0.000368750 61.4876
0.000378125 60.7203
0.000387500 59.9810
0.000396875 59.2681
0.000406250 58.5799
0.000425000 57.2726
0.000443750 56.0491
0.000462500 54.9007
0.000481250 53.8201
0.000500000 52.8009
0.000515625 51.9943
0.000531250 51.2236
0.000546875 50.4862
0.000562500 49.7796
0.000578125 49.1020
0.000593750 48.4512
0.000609375 47.8257
0.000625000 47.2237
0.000640625 46.6439
0.000656250 46.0849
0.000671875 45.5456
