energy low [eV],energy high [eV],energy mid [eV],cell,mean,std. dev.,MT_fertile,kg/m3_fertile
1.00E-05,1.02E-05,1.01E-05,1,0,0,0.0096,0.028070175
1.00E-05,1.02E-05,1.01E-05,2,0,0,0.1,0.292397661
1.00E-05,1.02E-05,1.01E-05,3,0,0,0.5,1.461988304
1.00E-05,1.02E-05,1.01E-05,4,0,0,2.65,7.748538012
1.00E-05,1.02E-05,1.01E-05,5,0,0,5,14.61988304
1.00E-05,1.02E-05,1.01E-05,6,0,0,10,29.23976608
1.00E-05,1.02E-05,1.01E-05,7,0,0,20,58.47953216
1.00E-05,1.02E-05,1.01E-05,8,0,0,30,87.71929825
1.00E-05,1.02E-05,1.01E-05,9,0,0,40,116.9590643
1.00E-05,1.02E-05,1.01E-05,10,0,0,50,146.1988304
1.00E-05,1.02E-05,1.01E-05,11,0,0,132.9,388.5964912
1.00E-05,1.02E-05,1.01E-05,12,0,0,265.8,777.1929825
1.00E-05,1.02E-05,1.01E-05,13,0,0,531.5,1554.093567
1.02E-05,1.05E-05,1.04E-05,1,0,0,0.0096,0.028070175
1.02E-05,1.05E-05,1.04E-05,2,0,0,0.1,0.292397661
1.02E-05,1.05E-05,1.04E-05,3,0,0,0.5,1.461988304
1.02E-05,1.05E-05,1.04E-05,4,0,0,2.65,7.748538012
1.02E-05,1.05E-05,1.04E-05,5,0,0,5,14.61988304
1.02E-05,1.05E-05,1.04E-05,6,0,0,10,29.23976608
1.02E-05,1.05E-05,1.04E-05,7,0,0,20,58.47953216
1.02E-05,1.05E-05,1.04E-05,8,0,0,30,87.71929825
1.02E-05,1.05E-05,1.04E-05,9,0,0,40,116.9590643
1.02E-05,1.05E-05,1.04E-05,10,0,0,50,146.1988304
1.02E-05,1.05E-05,1.04E-05,11,0,0,132.9,388.5964912
1.02E-05,1.05E-05,1.04E-05,12,0,0,265.8,777.1929825
1.02E-05,1.05E-05,1.04E-05,13,0,0,531.5,1554.093567
1.05E-05,1.07E-05,1.06E-05,1,0,0,0.0096,0.028070175
1.05E-05,1.07E-05,1.06E-05,2,0,0,0.1,0.292397661
1.05E-05,1.07E-05,1.06E-05,3,0,0,0.5,1.461988304
1.05E-05,1.07E-05,1.06E-05,4,0,0,2.65,7.748538012
1.05E-05,1.07E-05,1.06E-05,5,0,0,5,14.61988304
1.05E-05,1.07E-05,1.06E-05,6,0,0,10,29.23976608
1.05E-05,1.07E-05,1.06E-05,7,0,0,20,58.47953216
1.05E-05,1.07E-05,1.06E-05,8,0,0,30,87.71929825
1.05E-05,1.07E-05,1.06E-05,9,0,0,40,116.9590643
1.05E-05,1.07E-05,1.06E-05,10,0,0,50,146.1988304
1.05E-05,1.07E-05,1.06E-05,11,0,0,132.9,388.5964912
1.05E-05,1.07E-05,1.06E-05,12,0,0,265.8,777.1929825
1.05E-05,1.07E-05,1.06E-05,13,0,0,531.5,1554.093567
1.07E-05,1.10E-05,1.08E-05,1,0,0,0.0096,0.028070175
1.07E-05,1.10E-05,1.08E-05,2,0,0,0.1,0.292397661
1.07E-05,1.10E-05,1.08E-05,3,0,0,0.5,1.461988304
1.07E-05,1.10E-05,1.08E-05,4,0,0,2.65,7.748538012
1.07E-05,1.10E-05,1.08E-05,5,0,0,5,14.61988304
1.07E-05,1.10E-05,1.08E-05,6,0,0,10,29.23976608
1.07E-05,1.10E-05,1.08E-05,7,0,0,20,58.47953216
1.07E-05,1.10E-05,1.08E-05,8,0,0,30,87.71929825
1.07E-05,1.10E-05,1.08E-05,9,0,0,40,116.9590643
1.07E-05,1.10E-05,1.08E-05,10,0,0,50,146.1988304
1.07E-05,1.10E-05,1.08E-05,11,0,0,132.9,388.5964912
1.07E-05,1.10E-05,1.08E-05,12,0,0,265.8,777.1929825
1.07E-05,1.10E-05,1.08E-05,13,0,0,531.5,1554.093567
1.10E-05,1.12E-05,1.11E-05,1,0,0,0.0096,0.028070175
1.10E-05,1.12E-05,1.11E-05,2,0,0,0.1,0.292397661
1.10E-05,1.12E-05,1.11E-05,3,0,0,0.5,1.461988304
1.10E-05,1.12E-05,1.11E-05,4,0,0,2.65,7.748538012
1.10E-05,1.12E-05,1.11E-05,5,0,0,5,14.61988304
1.10E-05,1.12E-05,1.11E-05,6,0,0,10,29.23976608
1.10E-05,1.12E-05,1.11E-05,7,0,0,20,58.47953216
1.10E-05,1.12E-05,1.11E-05,8,0,0,30,87.71929825
1.10E-05,1.12E-05,1.11E-05,9,0,0,40,116.9590643
1.10E-05,1.12E-05,1.11E-05,10,0,0,50,146.1988304
1.10E-05,1.12E-05,1.11E-05,11,0,0,132.9,388.5964912
1.10E-05,1.12E-05,1.11E-05,12,0,0,265.8,777.1929825
1.10E-05,1.12E-05,1.11E-05,13,0,0,531.5,1554.093567
1.12E-05,1.15E-05,1.13E-05,1,0,0,0.0096,0.028070175
1.12E-05,1.15E-05,1.13E-05,2,0,0,0.1,0.292397661
1.12E-05,1.15E-05,1.13E-05,3,0,0,0.5,1.461988304
1.12E-05,1.15E-05,1.13E-05,4,0,0,2.65,7.748538012
1.12E-05,1.15E-05,1.13E-05,5,0,0,5,14.61988304
1.12E-05,1.15E-05,1.13E-05,6,0,0,10,29.23976608
1.12E-05,1.15E-05,1.13E-05,7,0,0,20,58.47953216
1.12E-05,1.15E-05,1.13E-05,8,0,0,30,87.71929825
1.12E-05,1.15E-05,1.13E-05,9,0,0,40,116.9590643
1.12E-05,1.15E-05,1.13E-05,10,0,0,50,146.1988304
1.12E-05,1.15E-05,1.13E-05,11,0,0,132.9,388.5964912
1.12E-05,1.15E-05,1.13E-05,12,0,0,265.8,777.1929825
1.12E-05,1.15E-05,1.13E-05,13,0,0,531.5,1554.093567
1.15E-05,1.17E-05,1.16E-05,1,0,0,0.0096,0.028070175
1.15E-05,1.17E-05,1.16E-05,2,0,0,0.1,0.292397661
1.15E-05,1.17E-05,1.16E-05,3,0,0,0.5,1.461988304
1.15E-05,1.17E-05,1.16E-05,4,0,0,2.65,7.748538012
1.15E-05,1.17E-05,1.16E-05,5,0,0,5,14.61988304
1.15E-05,1.17E-05,1.16E-05,6,0,0,10,29.23976608
1.15E-05,1.17E-05,1.16E-05,7,0,0,20,58.47953216
1.15E-05,1.17E-05,1.16E-05,8,0,0,30,87.71929825
1.15E-05,1.17E-05,1.16E-05,9,0,0,40,116.9590643
1.15E-05,1.17E-05,1.16E-05,10,0,0,50,146.1988304
1.15E-05,1.17E-05,1.16E-05,11,0,0,132.9,388.5964912
1.15E-05,1.17E-05,1.16E-05,12,0,0,265.8,777.1929825
1.15E-05,1.17E-05,1.16E-05,13,0,0,531.5,1554.093567
1.17E-05,1.20E-05,1.19E-05,1,0,0,0.0096,0.028070175
1.17E-05,1.20E-05,1.19E-05,2,0,0,0.1,0.292397661
1.17E-05,1.20E-05,1.19E-05,3,0,0,0.5,1.461988304
1.17E-05,1.20E-05,1.19E-05,4,0,0,2.65,7.748538012
1.17E-05,1.20E-05,1.19E-05,5,0,0,5,14.61988304
1.17E-05,1.20E-05,1.19E-05,6,0,0,10,29.23976608
1.17E-05,1.20E-05,1.19E-05,7,0,0,20,58.47953216
1.17E-05,1.20E-05,1.19E-05,8,0,0,30,87.71929825
1.17E-05,1.20E-05,1.19E-05,9,0,0,40,116.9590643
1.17E-05,1.20E-05,1.19E-05,10,0,0,50,146.1988304
1.17E-05,1.20E-05,1.19E-05,11,0,0,132.9,388.5964912
1.17E-05,1.20E-05,1.19E-05,12,0,0,265.8,777.1929825
1.17E-05,1.20E-05,1.19E-05,13,0,0,531.5,1554.093567
1.20E-05,1.23E-05,1.22E-05,1,0,0,0.0096,0.028070175
1.20E-05,1.23E-05,1.22E-05,2,0,0,0.1,0.292397661
1.20E-05,1.23E-05,1.22E-05,3,0,0,0.5,1.461988304
1.20E-05,1.23E-05,1.22E-05,4,0,0,2.65,7.748538012
1.20E-05,1.23E-05,1.22E-05,5,0,0,5,14.61988304
1.20E-05,1.23E-05,1.22E-05,6,0,0,10,29.23976608
1.20E-05,1.23E-05,1.22E-05,7,0,0,20,58.47953216
1.20E-05,1.23E-05,1.22E-05,8,0,0,30,87.71929825
1.20E-05,1.23E-05,1.22E-05,9,0,0,40,116.9590643
1.20E-05,1.23E-05,1.22E-05,10,0,0,50,146.1988304
1.20E-05,1.23E-05,1.22E-05,11,0,0,132.9,388.5964912
1.20E-05,1.23E-05,1.22E-05,12,0,0,265.8,777.1929825
1.20E-05,1.23E-05,1.22E-05,13,0,0,531.5,1554.093567
1.23E-05,1.26E-05,1.24E-05,1,0,0,0.0096,0.028070175
1.23E-05,1.26E-05,1.24E-05,2,0,0,0.1,0.292397661
1.23E-05,1.26E-05,1.24E-05,3,0,0,0.5,1.461988304
1.23E-05,1.26E-05,1.24E-05,4,0,0,2.65,7.748538012
1.23E-05,1.26E-05,1.24E-05,5,0,0,5,14.61988304
1.23E-05,1.26E-05,1.24E-05,6,0,0,10,29.23976608
1.23E-05,1.26E-05,1.24E-05,7,0,0,20,58.47953216
1.23E-05,1.26E-05,1.24E-05,8,0,0,30,87.71929825
1.23E-05,1.26E-05,1.24E-05,9,0,0,40,116.9590643
1.23E-05,1.26E-05,1.24E-05,10,0,0,50,146.1988304
1.23E-05,1.26E-05,1.24E-05,11,0,0,132.9,388.5964912
1.23E-05,1.26E-05,1.24E-05,12,0,0,265.8,777.1929825
1.23E-05,1.26E-05,1.24E-05,13,0,0,531.5,1554.093567
1.26E-05,1.29E-05,1.27E-05,1,0,0,0.0096,0.028070175
1.26E-05,1.29E-05,1.27E-05,2,0,0,0.1,0.292397661
1.26E-05,1.29E-05,1.27E-05,3,0,0,0.5,1.461988304
1.26E-05,1.29E-05,1.27E-05,4,0,0,2.65,7.748538012
1.26E-05,1.29E-05,1.27E-05,5,0,0,5,14.61988304
1.26E-05,1.29E-05,1.27E-05,6,0,0,10,29.23976608
1.26E-05,1.29E-05,1.27E-05,7,0,0,20,58.47953216
1.26E-05,1.29E-05,1.27E-05,8,0,0,30,87.71929825
1.26E-05,1.29E-05,1.27E-05,9,0,0,40,116.9590643
1.26E-05,1.29E-05,1.27E-05,10,0,0,50,146.1988304
1.26E-05,1.29E-05,1.27E-05,11,0,0,132.9,388.5964912
1.26E-05,1.29E-05,1.27E-05,12,0,0,265.8,777.1929825
1.26E-05,1.29E-05,1.27E-05,13,0,0,531.5,1554.093567
1.29E-05,1.32E-05,1.30E-05,1,0,0,0.0096,0.028070175
1.29E-05,1.32E-05,1.30E-05,2,0,0,0.1,0.292397661
1.29E-05,1.32E-05,1.30E-05,3,0,0,0.5,1.461988304
1.29E-05,1.32E-05,1.30E-05,4,0,0,2.65,7.748538012
1.29E-05,1.32E-05,1.30E-05,5,0,0,5,14.61988304
1.29E-05,1.32E-05,1.30E-05,6,0,0,10,29.23976608
1.29E-05,1.32E-05,1.30E-05,7,0,0,20,58.47953216
1.29E-05,1.32E-05,1.30E-05,8,0,0,30,87.71929825
1.29E-05,1.32E-05,1.30E-05,9,0,0,40,116.9590643
1.29E-05,1.32E-05,1.30E-05,10,0,0,50,146.1988304
1.29E-05,1.32E-05,1.30E-05,11,0,0,132.9,388.5964912
1.29E-05,1.32E-05,1.30E-05,12,0,0,265.8,777.1929825
1.29E-05,1.32E-05,1.30E-05,13,0,0,531.5,1554.093567
1.32E-05,1.35E-05,1.33E-05,1,0,0,0.0096,0.028070175
1.32E-05,1.35E-05,1.33E-05,2,0,0,0.1,0.292397661
1.32E-05,1.35E-05,1.33E-05,3,0,0,0.5,1.461988304
1.32E-05,1.35E-05,1.33E-05,4,0,0,2.65,7.748538012
1.32E-05,1.35E-05,1.33E-05,5,0,0,5,14.61988304
1.32E-05,1.35E-05,1.33E-05,6,0,0,10,29.23976608
1.32E-05,1.35E-05,1.33E-05,7,0,0,20,58.47953216
1.32E-05,1.35E-05,1.33E-05,8,0,0,30,87.71929825
1.32E-05,1.35E-05,1.33E-05,9,0,0,40,116.9590643
1.32E-05,1.35E-05,1.33E-05,10,0,0,50,146.1988304
1.32E-05,1.35E-05,1.33E-05,11,0,0,132.9,388.5964912
1.32E-05,1.35E-05,1.33E-05,12,0,0,265.8,777.1929825
1.32E-05,1.35E-05,1.33E-05,13,0,0,531.5,1554.093567
1.35E-05,1.38E-05,1.36E-05,1,0,0,0.0096,0.028070175
1.35E-05,1.38E-05,1.36E-05,2,0,0,0.1,0.292397661
1.35E-05,1.38E-05,1.36E-05,3,0,0,0.5,1.461988304
1.35E-05,1.38E-05,1.36E-05,4,0,0,2.65,7.748538012
1.35E-05,1.38E-05,1.36E-05,5,0,0,5,14.61988304
1.35E-05,1.38E-05,1.36E-05,6,0,0,10,29.23976608
1.35E-05,1.38E-05,1.36E-05,7,0,0,20,58.47953216
1.35E-05,1.38E-05,1.36E-05,8,0,0,30,87.71929825
1.35E-05,1.38E-05,1.36E-05,9,0,0,40,116.9590643
1.35E-05,1.38E-05,1.36E-05,10,0,0,50,146.1988304
1.35E-05,1.38E-05,1.36E-05,11,0,0,132.9,388.5964912
1.35E-05,1.38E-05,1.36E-05,12,0,0,265.8,777.1929825
1.35E-05,1.38E-05,1.36E-05,13,0,0,531.5,1554.093567
1.38E-05,1.41E-05,1.40E-05,1,0,0,0.0096,0.028070175
1.38E-05,1.41E-05,1.40E-05,2,0,0,0.1,0.292397661
1.38E-05,1.41E-05,1.40E-05,3,0,0,0.5,1.461988304
1.38E-05,1.41E-05,1.40E-05,4,0,0,2.65,7.748538012
1.38E-05,1.41E-05,1.40E-05,5,0,0,5,14.61988304
1.38E-05,1.41E-05,1.40E-05,6,0,0,10,29.23976608
1.38E-05,1.41E-05,1.40E-05,7,0,0,20,58.47953216
1.38E-05,1.41E-05,1.40E-05,8,0,0,30,87.71929825
1.38E-05,1.41E-05,1.40E-05,9,0,0,40,116.9590643
1.38E-05,1.41E-05,1.40E-05,10,0,0,50,146.1988304
1.38E-05,1.41E-05,1.40E-05,11,0,0,132.9,388.5964912
1.38E-05,1.41E-05,1.40E-05,12,0,0,265.8,777.1929825
1.38E-05,1.41E-05,1.40E-05,13,0,0,531.5,1554.093567
1.41E-05,1.45E-05,1.43E-05,1,0,0,0.0096,0.028070175
1.41E-05,1.45E-05,1.43E-05,2,0,0,0.1,0.292397661
1.41E-05,1.45E-05,1.43E-05,3,0,0,0.5,1.461988304
1.41E-05,1.45E-05,1.43E-05,4,0,0,2.65,7.748538012
1.41E-05,1.45E-05,1.43E-05,5,0,0,5,14.61988304
1.41E-05,1.45E-05,1.43E-05,6,0,0,10,29.23976608
1.41E-05,1.45E-05,1.43E-05,7,0,0,20,58.47953216
1.41E-05,1.45E-05,1.43E-05,8,0,0,30,87.71929825
1.41E-05,1.45E-05,1.43E-05,9,0,0,40,116.9590643
1.41E-05,1.45E-05,1.43E-05,10,0,0,50,146.1988304
1.41E-05,1.45E-05,1.43E-05,11,0,0,132.9,388.5964912
1.41E-05,1.45E-05,1.43E-05,12,0,0,265.8,777.1929825
1.41E-05,1.45E-05,1.43E-05,13,0,0,531.5,1554.093567
1.45E-05,1.48E-05,1.46E-05,1,0,0,0.0096,0.028070175
1.45E-05,1.48E-05,1.46E-05,2,0,0,0.1,0.292397661
1.45E-05,1.48E-05,1.46E-05,3,0,0,0.5,1.461988304
1.45E-05,1.48E-05,1.46E-05,4,0,0,2.65,7.748538012
1.45E-05,1.48E-05,1.46E-05,5,0,0,5,14.61988304
1.45E-05,1.48E-05,1.46E-05,6,0,0,10,29.23976608
1.45E-05,1.48E-05,1.46E-05,7,0,0,20,58.47953216
1.45E-05,1.48E-05,1.46E-05,8,0,0,30,87.71929825
1.45E-05,1.48E-05,1.46E-05,9,0,0,40,116.9590643
1.45E-05,1.48E-05,1.46E-05,10,0,0,50,146.1988304
1.45E-05,1.48E-05,1.46E-05,11,0,0,132.9,388.5964912
1.45E-05,1.48E-05,1.46E-05,12,0,0,265.8,777.1929825
1.45E-05,1.48E-05,1.46E-05,13,0,0,531.5,1554.093567
1.48E-05,1.51E-05,1.50E-05,1,0,0,0.0096,0.028070175
1.48E-05,1.51E-05,1.50E-05,2,0,0,0.1,0.292397661
1.48E-05,1.51E-05,1.50E-05,3,0,0,0.5,1.461988304
1.48E-05,1.51E-05,1.50E-05,4,0,0,2.65,7.748538012
1.48E-05,1.51E-05,1.50E-05,5,0,0,5,14.61988304
1.48E-05,1.51E-05,1.50E-05,6,0,0,10,29.23976608
1.48E-05,1.51E-05,1.50E-05,7,0,0,20,58.47953216
1.48E-05,1.51E-05,1.50E-05,8,0,0,30,87.71929825
1.48E-05,1.51E-05,1.50E-05,9,0,0,40,116.9590643
1.48E-05,1.51E-05,1.50E-05,10,0,0,50,146.1988304
1.48E-05,1.51E-05,1.50E-05,11,0,0,132.9,388.5964912
1.48E-05,1.51E-05,1.50E-05,12,0,0,265.8,777.1929825
1.48E-05,1.51E-05,1.50E-05,13,0,0,531.5,1554.093567
1.51E-05,1.55E-05,1.53E-05,1,0,0,0.0096,0.028070175
1.51E-05,1.55E-05,1.53E-05,2,0,0,0.1,0.292397661
1.51E-05,1.55E-05,1.53E-05,3,0,0,0.5,1.461988304
1.51E-05,1.55E-05,1.53E-05,4,0,0,2.65,7.748538012
1.51E-05,1.55E-05,1.53E-05,5,0,0,5,14.61988304
1.51E-05,1.55E-05,1.53E-05,6,0,0,10,29.23976608
1.51E-05,1.55E-05,1.53E-05,7,0,0,20,58.47953216
1.51E-05,1.55E-05,1.53E-05,8,0,0,30,87.71929825
1.51E-05,1.55E-05,1.53E-05,9,0,0,40,116.9590643
1.51E-05,1.55E-05,1.53E-05,10,0,0,50,146.1988304
1.51E-05,1.55E-05,1.53E-05,11,0,0,132.9,388.5964912
1.51E-05,1.55E-05,1.53E-05,12,0,0,265.8,777.1929825
1.51E-05,1.55E-05,1.53E-05,13,0,0,531.5,1554.093567
1.55E-05,1.58E-05,1.57E-05,1,0,0,0.0096,0.028070175
1.55E-05,1.58E-05,1.57E-05,2,0,0,0.1,0.292397661
1.55E-05,1.58E-05,1.57E-05,3,0,0,0.5,1.461988304
1.55E-05,1.58E-05,1.57E-05,4,0,0,2.65,7.748538012
1.55E-05,1.58E-05,1.57E-05,5,0,0,5,14.61988304
1.55E-05,1.58E-05,1.57E-05,6,0,0,10,29.23976608
1.55E-05,1.58E-05,1.57E-05,7,0,0,20,58.47953216
1.55E-05,1.58E-05,1.57E-05,8,0,0,30,87.71929825
1.55E-05,1.58E-05,1.57E-05,9,0,0,40,116.9590643
1.55E-05,1.58E-05,1.57E-05,10,0,0,50,146.1988304
1.55E-05,1.58E-05,1.57E-05,11,0,0,132.9,388.5964912
1.55E-05,1.58E-05,1.57E-05,12,0,0,265.8,777.1929825
1.55E-05,1.58E-05,1.57E-05,13,0,0,531.5,1554.093567
1.58E-05,1.62E-05,1.60E-05,1,0,0,0.0096,0.028070175
1.58E-05,1.62E-05,1.60E-05,2,0,0,0.1,0.292397661
1.58E-05,1.62E-05,1.60E-05,3,0,0,0.5,1.461988304
1.58E-05,1.62E-05,1.60E-05,4,0,0,2.65,7.748538012
1.58E-05,1.62E-05,1.60E-05,5,0,0,5,14.61988304
1.58E-05,1.62E-05,1.60E-05,6,0,0,10,29.23976608
