MTU,"Li-6(n,t)","Li-7(n,Xt)","U-238(n,gamma)","U-238(n,fis)"
0.0096,1.3624935211773967,0.0013143831268707603,7.138366447934362e-06,1.967028384122306e-06
0.1,1.3457968220011867,0.0012872218128073686,7.333639089253567e-05,2.0104120400825102e-05
0.5,1.359337181959365,0.0012925944301704032,0.00037114269072064044,0.00010152467582121255
2.65,1.3535293989019694,0.001302622173835154,0.001961646348767154,0.0005377673715504896
5.0,1.359552497961931,0.0013037516420994824,0.003721490684748708,0.0010236231889524947
10.0,1.3637104201815804,0.0013077508550742932,0.0075069474519232505,0.0020584659130224634
20.0,1.3644346438744237,0.001293341400814487,0.015172703579164035,0.004102185511521747
30.0,1.369708510660136,0.001280884698079866,0.023089494105360826,0.006156162738169488
40.0,1.372232470533022,0.0012694092748947853,0.031206318271710134,0.008233155607581751
50.0,1.3692943524786763,0.0012599488936496923,0.03928569292518348,0.010253960648571533
100.0,1.3939233024932842,0.0012137669653175813,0.08436430892869584,0.020929783842848385
200.0,1.4344256239222193,0.0011255127347742178,0.1930883273335338,0.043873061895567396
500.0,1.6410298218228354,0.0008659003630550253,0.8046249268369489,0.14591073508712063
