x,y,z
1.236848181385772349e-01,8.090566192017223379e-02,3.784797954664600752e+02
-2.317291928728623107e-01,7.104003928840058046e-02,3.837024721989040472e+02
1.159375445273500005e-01,7.139754268211206956e-02,4.068761347492295499e+02
1.630917215813576515e-01,-2.773411929666070863e-01,3.980437458762085612e+02
4.767196598137407593e-02,-2.800074192711796139e-01,3.947283306137616705e+02
5.050597363439024434e-02,1.498465066023232373e-01,4.064295408688583962e+02
2.234883390666797531e-03,2.523333314331043242e-01,4.067457139149539671e+02
2.542248178292367822e-01,-9.731300695267075529e-02,4.053840778718441129e+02
-7.573548138059832402e-02,1.486588178664475235e-01,4.035348527187645686e+02
2.846967194113153576e-01,-1.611031982806379326e-01,3.876770619947321848e+02
-2.514430971098927659e-01,1.728387704964029492e-02,3.965122383695295980e+02
-2.967604515201262561e-01,-2.669229751788578242e-01,4.045078796694555763e+02
-8.311323696071604150e-02,2.671896746681564627e-01,3.836791462573868898e+02
2.007171379994943106e-01,-2.164935614889068605e-01,4.034006103220335149e+02
9.181055485649491921e-02,1.424166710898001620e-01,4.045397407481479490e+02
1.372798285979023869e-01,-6.227366191216093805e-02,3.714477358082134515e+02
-7.955938609308832454e-02,1.727645302534626115e-01,3.917770138874157624e+02
1.004361124459233756e-01,5.484164053700102404e-02,3.791474528266554103e+02
-2.156861594516930325e-01,2.222644284845807228e-01,3.718311636704731882e+02
-6.879059168372925193e-02,-3.126217422890170683e-02,3.691264714192064957e+02
-1.305617808830291937e-01,2.775968083001377762e-01,3.990725078662468377e+02
-1.494492371748358528e-01,1.430776260695945101e-01,3.745161203398091061e+02
-2.364019210483321587e-01,2.964171247065081616e-01,4.048426628173773452e+02
1.314623071794963072e-01,2.362783403033086316e-03,3.915390913608490564e+02
-2.319030056326032707e-01,-5.460209805588717158e-02,4.006580699437720341e+02
2.419451079351451206e-01,-5.368320889360661541e-02,3.978011550753267329e+02
-1.415121294917046080e-01,8.373209797982006375e-03,3.815404467473982209e+02
2.274597638937846389e-01,-2.510969861130765146e-01,3.995851097426466936e+02
3.042984447082930366e-02,3.634210629943956938e-02,3.928484784116692481e+02
2.550144667036742252e-01,1.648153121449494884e-01,3.715318460812005128e+02
2.212777888964911899e-01,4.311685000722736971e-02,4.096561284415878958e+02
-2.160309700328415516e-01,1.522136037934005426e-01,4.024005406370751530e+02
1.929053728111105315e-01,4.166865912258288507e-02,3.704725390828812692e+02
2.642814612972086419e-01,7.824161805567192429e-02,3.861263084237538692e+02
2.047123115759864609e-01,-2.049660284672116528e-01,3.751698182842984579e+02
1.400639555949028114e-01,2.425909619546261498e-01,3.903490108391850981e+02
-2.775295245931354571e-01,-1.469978946587943147e-01,4.028182313778636967e+02
-4.580124944980440427e-02,1.268203453147990212e-01,3.870332295921002128e+02
1.640725018404948221e-01,6.452523749211763748e-02,3.913263621455939756e+02
1.167731433857846501e-01,2.643293568972998608e-02,3.937240187187344418e+02
1.421792658357262651e-02,1.854274341931272385e-02,3.869166500289462647e+02
-1.192150712699328596e-01,-5.129111504552785750e-02,3.887013316149061097e+02
6.897009086627448049e-02,6.828291445978174057e-02,3.684590035692321521e+02
1.147494730017942222e-01,-2.758104548813458123e-01,3.850377543472787920e+02
2.849294286964493272e-02,2.071324719778386836e-01,3.869212855058980267e+02
2.542509297576263094e-01,-2.617297500577125402e-01,3.672459778667662249e+02
-7.556479992645254162e-02,-2.128908000876141571e-01,4.098851447867152729e+02
-2.206967711771584684e-02,2.504033327078638571e-01,3.898754835638270038e+02
-2.617924423203084050e-01,-1.678402632757792223e-01,3.834840954862473268e+02
3.390966719507926275e-02,3.015809493665166929e-02,4.001179253170387256e+02
-2.227692730418761313e-01,1.756887555382609101e-01,3.938031367872984561e+02
-2.163749692030918770e-01,2.791432019902293504e-01,4.069948741714623566e+02
-6.716146851287946307e-02,-5.410178466375309414e-02,4.048040572880541390e+02
-1.213530244747537956e-01,2.318194273832946406e-01,3.768067773045867739e+02
-1.290443985954958794e-01,1.949317783295877460e-01,3.748319395105238527e+02
-2.902382528602474587e-01,-2.969609929936659620e-01,4.056839678216554717e+02
2.416057318750146621e-01,-1.358395613931411838e-01,3.848093382322892353e+02
-2.858217080099462182e-02,9.999743919366738121e-02,4.042343654643657374e+02
-2.749470725345822264e-01,-1.681155299280233384e-01,3.817822368636256556e+02
-4.398484919966305640e-04,1.303178954274479273e-01,4.023751722226262473e+02
-1.048823417415337689e-01,-2.413200326592404021e-01,3.690750977003240791e+02
1.171806606149327079e-01,-2.477089284173737416e-01,4.083291971984534712e+02
2.545510130714712105e-02,-1.663601983438123266e-02,3.665481905574396819e+02
-2.806753499462644186e-01,-1.899225285702310362e-01,3.958004230122877516e+02
-1.769099770692855456e-01,2.780175155277547772e-02,3.979883347784170269e+02
7.052569397033914278e-02,-1.169879589033422096e-01,3.922687887880567814e+02
5.902229086917892831e-02,1.214709002094171986e-02,4.015343334214393849e+02
-6.709400951036120775e-02,-1.759631735645172668e-01,3.713890146695816270e+02
-2.555055913852486982e-01,-3.641157504629261021e-02,4.051843816713539468e+02
1.007697787661430699e-01,-1.748207577317695272e-01,3.889100771671038501e+02
-1.066837053295476845e-01,-1.796784631567520663e-01,3.686899692780419286e+02
-6.760426648241607550e-02,1.703051844841578788e-01,3.651185783279991028e+02
2.405184492169003541e-01,-7.487131825625437109e-02,3.810583541271287231e+02
-8.312430320005670392e-03,-8.566435327329063876e-02,4.057178014911679611e+02
-5.630899951456747043e-02,-5.201642792309801866e-02,3.765328724954327981e+02
8.729824044187078913e-02,-1.990929929951432975e-01,3.944144272957808539e+02
-1.347088384938146255e-01,-9.724752603937947271e-02,3.980519096645434729e+02
-7.100535995687695667e-02,-2.901066778421701464e-02,3.894397333701750199e+02
1.294054251300303382e-01,1.170186099586524864e-01,4.031428169113379454e+02
1.279237387281854654e-01,1.593616991898977320e-01,3.961884291786129779e+02
2.707446073778591034e-01,1.854618308933435600e-01,3.803791313965798508e+02
6.335365632416734005e-02,-4.581000802199308719e-03,3.682324405570046792e+02
-2.629453905557237459e-01,1.790102358466958421e-01,3.662245944384772542e+02
-1.226848836623653793e-01,7.133014481009697372e-02,3.821877191060330574e+02
1.414397738422685791e-01,-4.690611315265680314e-02,3.839379570306469986e+02
-1.211115959185044277e-01,3.340858361273585375e-02,3.995312375241633731e+02
4.110287759894559745e-02,1.756597183725113753e-01,3.774825106468841227e+02
-1.276263956210349215e-01,-1.843673256448943032e-01,3.714067448176357402e+02
-5.168978190334100331e-02,-8.937568111437343976e-02,4.031207516205880665e+02
8.897561469363379771e-03,6.398113095566476671e-02,3.738658157178101646e+02
-2.699299750589572167e-01,2.630865750705172479e-01,3.926104584332858281e+02
-1.938051718231005860e-01,1.278658496095146924e-01,3.733504648096361507e+02
2.712452695029218264e-01,1.074991686192378060e-01,4.033708169180549703e+02
8.459145030033154988e-02,1.190167034925083689e-01,4.069572387114679373e+02
-8.604044626828000197e-02,7.001563952815270664e-02,3.711117707590034343e+02
-1.286098213286837322e-01,2.491603951190221045e-01,3.853263934030797486e+02
-9.317731891027636326e-03,5.874084666141277111e-02,3.915918340281838823e+02
-3.265172530655913175e-02,2.110896153641897977e-01,3.837730126803707549e+02
9.300206520172493718e-04,7.028123931877505726e-02,3.650622534602802034e+02
-1.960279484913867720e-01,-9.750857626944997580e-03,3.828256441136049943e+02
-2.461034974055087421e-03,-2.497829537384735898e-01,3.721963456798365542e+02
1.940230694088285190e-01,-9.852974240788153759e-02,3.744439263204174040e+02
8.006021021916009950e-02,2.304607522833601596e-02,3.893078470646772189e+02
-2.276239422371774124e-01,2.378163327950155725e-04,3.978352918696270422e+02
2.558332027227971928e-02,-2.008143477425097245e-01,3.747746479503763339e+02
2.197056703577694448e-01,1.145166611301224324e-01,4.095304405198841096e+02
-1.241029570548768390e-02,7.827924041548300904e-02,3.676566131677934095e+02
1.261294959398316928e-01,-1.543652219561859884e-01,3.661051823371499268e+02
-2.776419583105337874e-01,1.097485004625791127e-01,3.922658757490548851e+02
-1.660193386888766387e-01,2.409436799918501793e-01,3.788739248500179428e+02
2.528815505600664482e-01,-1.796886407577721612e-01,3.709107041040174408e+02
-2.369794166820723691e-01,6.224412362071379823e-02,3.979526506199845244e+02
4.206015176337196682e-02,-2.341349645280362823e-01,3.785684763822249010e+02
