x,y,z
-5.862815138585788510e-01,-1.828402318129744852e-01,8.896792162440664242e+02
-5.174670828300071967e-01,-6.331354182498241112e-01,9.027413987023611526e+02
4.880694243457442960e-01,6.100570044279255422e-01,8.871496232474801218e+02
9.268544750093843376e-02,-4.997059747850893796e-01,8.653688114917821395e+02
1.788021837594769847e-01,-4.137338220901611296e-01,8.875837138501042318e+02
-5.287525796709819925e-01,5.020374178632447393e-02,8.574964874044618455e+02
4.529398738639877076e-01,1.708241038202260587e-01,8.612229771617919596e+02
5.458105605508217772e-01,-9.648356649256994988e-02,8.826787511318660790e+02
2.083046057948417795e-01,-3.276977546137801456e-01,8.998206342635991177e+02
3.007207964538608502e-01,-3.470904578499807158e-01,8.988861159323412267e+02
-5.652762809181144377e-01,-4.588367009896021642e-02,8.728873396683371766e+02
2.707359982403275689e-01,3.846976398762717020e-01,8.724697345114631162e+02
-3.556589168653139788e-01,5.983712589168521667e-02,8.758133930225204722e+02
-1.500638708631661933e-01,-4.907077658461916903e-01,8.892156606736089088e+02
3.543116187389286909e-01,2.486100130992604518e-01,9.083048945154769171e+02
-3.206662775401371013e-01,-4.075788014599314169e-01,8.568761793901685451e+02
-4.679063412419969259e-01,3.337827841307775545e-01,9.073656721332927191e+02
-7.242847610283367210e-01,3.001777191049542770e-01,8.940846826879665059e+02
-6.407187637416812409e-01,3.614749218160085986e-01,8.327392895076350214e+02
-4.524161521119807183e-02,5.674157790577935012e-01,8.871665857070985339e+02
-4.901550326747434738e-01,-1.940039019572732393e-01,9.086438951437421565e+02
7.879882644120139723e-02,-4.902426335342256469e-01,8.840946375414806653e+02
4.753000893237061542e-01,5.869066488893776024e-01,8.552833900350671001e+02
-2.395148083044020826e-01,-6.005134001215707285e-01,8.939991188277930405e+02
2.347860233475543845e-01,-2.820107536072313792e-03,9.067088016173987626e+02
4.056602759422928139e-01,-4.924656626042652752e-01,9.006803796521818413e+02
-4.600409809328036559e-01,1.673584550653025582e-01,8.455417947407045176e+02
5.043320459312082837e-01,-3.406741194549680052e-01,8.558326306761858859e+02
-3.578750514357857959e-01,-1.062580435086568631e-02,8.782566937982368245e+02
-4.924902911247667214e-01,3.202365754339153714e-02,8.368751061290216740e+02
5.596124061304085240e-01,6.739828350935467283e-01,8.697472364880131863e+02
-4.805898572783801614e-01,2.159787391444892846e-01,9.010406452333754714e+02
-4.083066771044103760e-01,3.425408750888546683e-01,9.040783352795365317e+02
-5.866672066816218667e-01,-5.221687306797577754e-01,8.982586515670193421e+02
4.745309385513248879e-01,5.252172412498489207e-01,8.318209531756459683e+02
-1.201593588858185235e-01,2.477304916282198066e-01,8.487736375835522722e+02
-6.060760991854198254e-01,-1.570285172029451948e-01,8.860064670257729631e+02
5.199222616544518782e-02,6.842796506950757918e-01,9.040466385444838124e+02
-8.390365810915445532e-02,4.792390406697805139e-01,8.491235023736340963e+02
-1.319229879732072286e-01,-4.712189339906612817e-01,9.110183460175245500e+02
-1.195724160735135433e-01,-2.813608973159451576e-01,8.700157562478150339e+02
-1.996483269597980614e-01,-4.288367234537719952e-01,8.580911682585076505e+02
-2.347921891484607837e-01,2.446153847732425168e-01,8.801586509257259650e+02
-3.732942004368268729e-01,-5.069628051376574573e-01,8.487088083049515035e+02
2.841795626940214481e-01,3.803495852738264515e-01,8.853801074332013741e+02
5.309717623283377597e-01,2.333120399313132198e-01,8.392667257514797257e+02
5.236776946896065654e-01,1.646692803958034190e-01,8.404708615784919630e+02
4.112317282503613614e-01,-3.467561965735586060e-01,8.544843393643932359e+02
-6.431773620603853381e-02,2.972111970222269806e-01,8.869508585528678850e+02
5.389416037968609574e-01,-4.232714022160995460e-01,8.958757441787765856e+02
-4.183026870445354373e-01,2.726430148825084165e-01,8.910774495812454461e+02
1.555473090757900634e-01,1.344443731481669291e-01,9.002812559379005961e+02
-1.852748650483747594e-01,-6.563084035691708618e-01,9.020467637574594164e+02
-6.065140474543617710e-01,1.083508319494997929e-01,8.641961375321841388e+02
-1.958620564786209828e-01,2.060704166586702080e-02,8.625861377927573130e+02
-9.172458616322110014e-02,-6.042241603697073860e-01,8.452218688607567856e+02
-1.603290850413358060e-01,4.752559841655344952e-01,8.411731202332076691e+02
3.534275578029998366e-01,7.234713970883499545e-02,9.006614643307987080e+02
-3.267116423325258645e-01,4.307590879667039241e-01,8.884868193310139759e+02
4.443664221076618626e-01,3.288991879860969636e-02,8.408817505161225654e+02
-5.979212292879305668e-01,-5.007659250883328417e-01,8.666668260970883466e+02
2.816308101287848809e-01,2.043887021442160057e-01,9.051882801756978552e+02
-4.550224564057037124e-02,-5.769408804577992322e-01,8.585929030336321830e+02
4.420339672885397198e-01,2.370323161525894617e-01,8.362390568696981745e+02
3.020714221120360810e-01,3.646152339888230065e-01,9.045570890254313099e+02
-7.017305388104406738e-01,1.951741416024771469e-01,8.939695462839584934e+02
-4.177752708392765135e-01,-1.445503424876881660e-02,8.342585359530858113e+02
-4.604098497342630214e-01,-1.842089680716085809e-02,8.722520432136172985e+02
5.262986903200103095e-01,-1.419018152656997822e-01,8.307386979851997921e+02
-1.660457519406539628e-01,-2.501929648615767166e-01,8.508765437920422983e+02
-6.042082139732601886e-01,2.200219706009062248e-01,8.365947422087519953e+02
-3.694180852329223552e-01,-1.054410096179205780e-01,8.797855255411419648e+02
7.381263673411686543e-02,-2.503587324659942714e-01,8.659270648059024325e+02
7.336526706482043858e-01,-2.744874235281526964e-01,9.000608144979534018e+02
-2.072876626138694389e-01,-1.503039355110047381e-01,8.914627738369575809e+02
9.156548544385889610e-02,-6.115493535811338255e-01,8.559854268233973471e+02
6.754919925134251768e-01,-6.739802896380288066e-01,8.467052444160894993e+02
