energy low [eV],energy high [eV],energy mid [eV],cell,mean,std. dev.
0.0,0.01,0.005,13,0.0,0.0
0.01,0.1,0.055,13,0.0,0.0
0.1,1.0,0.55,13,7.681704718432573e-07,5.229878311224116e-07
1.0,10.0,5.5,13,0.014461789091638175,0.0003007471003105769
10.0,100.0,55.0,13,0.8363774343938883,0.003202071861283221
100.0,1000.0,550.0,13,4.889247847646002,0.008709028263305123
1000.0,10000.0,5500.0,13,9.871814192944914,0.015501255479688189
10000.0,100000.0,55000.0,13,13.41072904096563,0.021867076381035522
100000.0,1000000.0,550000.0,13,15.467375383104235,0.03428065698805391
1000000.0,10000000.0,5500000.0,13,6.750644838131708,0.01581298710351493
0.0,0.01,0.005,23,0.0,0.0
0.01,0.1,0.055,23,0.0,0.0
0.1,1.0,0.55,23,1.8279242506177515e-05,7.801012776290842e-06
1.0,10.0,5.5,23,0.029803948681956138,0.0003714363820356504
10.0,100.0,55.0,23,1.738380770707201,0.0034163070020584423
100.0,1000.0,550.0,23,10.195702214510273,0.015348370992255849
1000.0,10000.0,5500.0,23,20.583304617260946,0.021004153984512153
10000.0,100000.0,55000.0,23,28.18137277107,0.018091152728511445
100000.0,1000000.0,550000.0,23,33.812236472269724,0.03697705646505341
1000000.0,10000000.0,5500000.0,23,16.526418652356753,0.023599417974866258
