folder,case,loading_kg_m3,tbr,tbr_std,th232_n_gamma,th232_n_gamma_std
dcll_wedgeA_Th232_000.10kgm3,A,0.1,1.3355902411931826,0.0009658284893454985,0.0007987244065479368,5.315290172109245e-07
dcll_wedgeA_Th232_000.50kgm3,A,0.5,1.3327871414689394,0.001542904222713015,0.0039849368436675105,3.6864147668396387e-06
dcll_wedgeA_Th232_001.50kgm3,A,1.5,1.3342539236059645,0.0012435900821851076,0.011963662825065387,9.180964674223778e-06
dcll_wedgeA_Th232_015.00kgm3,A,15.0,1.3283272840070726,0.0014292334287620114,0.1193607670098375,0.00010766585633759268
dcll_wedgeA_Th232_030.00kgm3,A,30.0,1.3251061168053246,0.0008880937184727502,0.2384478994791316,0.0001406845338182467
dcll_wedgeA_Th232_060.00kgm3,A,60.0,1.318722385641408,0.0012590247544715476,0.47584153454483347,0.00043466343674113117
dcll_wedgeA_Th232_090.00kgm3,A,90.0,1.3124798292895137,0.0011756073018216837,0.7123250074355577,0.000540903496191822
dcll_wedgeA_Th232_120.00kgm3,A,120.0,1.3033297752905477,0.0010919346287518606,0.9462903867893818,0.0007364010577773397
dcll_wedgeA_Th232_150.00kgm3,A,150.0,1.2966301517048167,0.0009976292650586205,1.1803354667002097,0.0008236007680803276
dcll_wedgeA_Th232_250.00kgm3,A,250.0,1.2708609670523163,0.0007929531911576435,1.9503638937182524,0.0011016288355439343
dcll_wedgeA_Th232_500.00kgm3,A,500.0,1.2073775660258015,0.0011276845702858451,3.819840017365307,0.0031596815074305834
dcll_wedgeA_Th232_750.00kgm3,A,750.0,1.1403490012176178,0.0010666710939765355,5.600632672850459,0.004898901707446682
dcll_wedgeA_Th232_999.99kgm3,A,999.99,1.072078850564002,0.0007719732425163425,7.293157776785082,0.004507667545360385
dcll_wedgeC_Th232_000.10kgm3,C,0.1,1.3357066400671258,0.001583635309127248,0.0008372900568578998,5.387757519954998e-06
dcll_wedgeC_Th232_000.50kgm3,C,0.5,1.332459563600734,0.00132822055969657,0.004202056447554292,7.778566189805664e-06
dcll_wedgeC_Th232_001.50kgm3,C,1.5,1.3334370620083198,0.0010316725569904487,0.012674033010895465,1.7481489795778894e-05
dcll_wedgeC_Th232_015.00kgm3,C,15.0,1.3270724156513936,0.0012874626564085224,0.1267729991194073,0.00010889208694819569
dcll_wedgeC_Th232_030.00kgm3,C,30.0,1.3232823680411065,0.0010367958108623192,0.25334398820122894,0.00020381152727606645
dcll_wedgeC_Th232_060.00kgm3,C,60.0,1.3177075994917578,0.00117985563505678,0.506084637840474,0.0004148939742218239
dcll_wedgeC_Th232_090.00kgm3,C,90.0,1.3112535491322788,0.0008382661735076085,0.7575687075895621,0.00048604089405203805
dcll_wedgeC_Th232_120.00kgm3,C,120.0,1.301956407509934,0.0012163714865137964,1.00522179321266,0.0008406935056059891
dcll_wedgeC_Th232_150.00kgm3,C,150.0,1.296955229291494,0.0012458292758796845,1.2550758268544138,0.0011620328786461854
dcll_wedgeC_Th232_250.00kgm3,C,250.0,1.2735163958333624,0.0013331569736706158,2.073497767215845,0.0016611207255432519
dcll_wedgeC_Th232_500.00kgm3,C,500.0,1.21551973430228,0.0011308903566984965,4.056395789415087,0.0035147528168914008
dcll_wedgeC_Th232_750.00kgm3,C,750.0,1.1518523645686432,0.001411086017482378,5.933139017550287,0.00546835058724593
dcll_wedgeC_Th232_999.99kgm3,C,999.99,1.0876143945201922,0.0011475156606325773,7.708092166903138,0.006705936874797642
