folder,case,loading_kg_m3,tbr,tbr_std,th232_gamma,th232_gamma_std,th232_fis,th232_fis_std
hcpb_Li60.0_wedgeA_Th232_000.10kgm3_4e6x25,A,0.1,1.3890807744308749,0.00010124318874365626,3.021373663021083e-05,6.281429060042987e-09,8.990444937096485e-07,1.2821299860299443e-10
hcpb_Li60.0_wedgeA_Th232_000.50kgm3_4e6x25,A,0.5,1.3890751130455021,0.00015633111145029564,0.00015098954040793257,4.1276616778068983e-08,4.521257988934786e-06,5.386786850252438e-10
hcpb_Li60.0_wedgeA_Th232_001.00kgm3_4e6x25,A,1.0,1.3889046123851019,0.0001703356919399322,0.0003017061751980935,8.166714301306322e-08,9.05219344338868e-06,1.0936079336944488e-09
hcpb_Li60.0_wedgeA_Th232_010.00kgm3_4e5x25,A,10.0,1.3856175235925796,0.0004554028669932208,0.0029775098347189287,2.751254552039458e-06,9.053958952001758e-05,3.060988552000859e-08
hcpb_Li60.0_wedgeA_Th232_025.00kgm3_8e4x25,A,25.0,1.379511443352996,0.0009605166366623566,0.007285469146507538,1.059533115512148e-05,0.000225447641878588,1.7922454183224933e-07
hcpb_Li60.0_wedgeA_Th232_050.00kgm3_8e4x25,A,50.0,1.37035761957013,0.0009571405261046817,0.014085686693042094,2.6440325603855158e-05,0.0004479808249988067,2.305857853709739e-07
hcpb_Li60.0_wedgeA_Th232_075.00kgm3_8e4x25,A,75.0,1.3619357177992413,0.0011464250060610863,0.020454067988633428,4.0017362438723205e-05,0.0006683999287185411,5.40204797581055e-07
hcpb_Li60.0_wedgeA_Th232_100.00kgm3_8e4x25,A,100.0,1.3552429229478542,0.000984342397962223,0.0266863417256942,4.648837328499895e-05,0.0008857936706376628,9.835605802533843e-07
hcpb_Li60.0_wedgeA_Th232_150.00kgm3_8e3x25,A,150.0,1.3391565484202699,0.0034513629910370484,0.037924637387248744,0.0001842856757527006,0.001308133062010784,2.8017174562220234e-06
hcpb_Li60.0_wedgeA_Th232_250.00kgm3_8e3x25,A,250.0,1.31127106575871,0.0026752055609564605,0.05933112629505723,0.00027677924057614077,0.0021254725400089765,4.346154505875657e-06
hcpb_Li60.0_wedgeA_Th232_500.00kgm3_8e3x25,A,500.0,1.256357695063359,0.0025050181564410796,0.10248245897609225,0.0002959582858788324,0.004026344667961117,9.828402253336256e-06
hcpb_Li60.0_wedgeA_Th232_750.00kgm3_8e3x25,A,750.0,1.2002196858125698,0.002979409419785803,0.1387789984948862,0.00042009114228035236,0.0057060236110456275,1.3537832235197519e-05
hcpb_Li60.0_wedgeA_Th232_999.99kgm3_8e3x25,A,999.99,1.1566240021210665,0.0025884299434419094,0.1696983162875585,0.0006304673496227404,0.007210097540933737,1.588171733717448e-05
hcpb_Li60.0_wedgeC_Th232_000.10kgm3_4e6x25,C,0.1,1.38932778213898,0.0001147001189544929,2.5899175434191046e-05,2.2204592344306945e-07,9.706332690211984e-07,2.3427818481280475e-09
hcpb_Li60.0_wedgeC_Th232_000.50kgm3_4e6x25,C,0.5,1.3891281581104602,0.00016988497331220026,0.00013026224043386118,5.734661945551378e-07,4.913048945461339e-06,4.970876525165661e-09
hcpb_Li60.0_wedgeC_Th232_001.00kgm3_4e6x25,C,1.0,1.3887761904342357,0.0001537345490533363,0.0002608956562129712,6.225750449677444e-07,9.855220317405747e-06,8.751924457211254e-09
hcpb_Li60.0_wedgeC_Th232_010.00kgm3_4e5x25,C,10.0,1.385943974884939,0.0004347712884885144,0.0025949076799098502,5.680457637008487e-06,9.932785460340632e-05,9.686758846988772e-08
hcpb_Li60.0_wedgeC_Th232_025.00kgm3_8e4x25,C,25.0,1.3801396333334512,0.0010536694518053038,0.006441940538079715,3.064081260415914e-05,0.00024682978389793946,3.079331716579834e-07
hcpb_Li60.0_wedgeC_Th232_050.00kgm3_8e4x25,C,50.0,1.3711659238629121,0.0007554987103654349,0.012669022542512265,3.98394923845891e-05,0.0004922283644788597,6.198183080203206e-07
hcpb_Li60.0_wedgeC_Th232_075.00kgm3_8e4x25,C,75.0,1.3635196955046467,0.0010122047275674493,0.018873120984925985,3.993242854721522e-05,0.0007334733030425473,5.165145339762392e-07
hcpb_Li60.0_wedgeC_Th232_100.00kgm3_8e4x25,C,100.0,1.3560884456088609,0.0010437615398901522,0.024681477633588605,4.3554638662226034e-05,0.0009708453475877151,9.698079497770866e-07
hcpb_Li60.0_wedgeC_Th232_150.00kgm3_8e3x25,C,150.0,1.344859364303954,0.0035460245721196534,0.0361348406610201,0.00024248288402107255,0.0014366091704730408,3.964235613289687e-06
hcpb_Li60.0_wedgeC_Th232_250.00kgm3_8e3x25,C,250.0,1.30969959179603,0.0029409916078694427,0.057361502212218154,0.00023849126374357897,0.0023498111912888843,6.047082365542448e-06
hcpb_Li60.0_wedgeC_Th232_500.00kgm3_8e3x25,C,500.0,1.2497624884637817,0.002684505129012949,0.10209258606597496,0.0004887068264043868,0.004400114734022408,1.22330052708446e-05
hcpb_Li60.0_wedgeC_Th232_750.00kgm3_8e3x25,C,750.0,1.2022174917535553,0.0027545952721865358,0.14105605143254574,0.0006461890418284183,0.0062061024296920664,1.4286572195083212e-05
hcpb_Li60.0_wedgeC_Th232_999.99kgm3_8e3x25,C,999.99,1.1524770375920914,0.0039762001692155765,0.1739599632301854,0.0007932626233744917,0.007833796736407472,1.6587191792760773e-05
