type,x_cm,y_cm,z_cm,radius_cm
BISO,0.00000000,0.00000000,0.00000000,0.05001000
Be,-0.06930513,-0.06930513,-0.06930513,0.03001000
Be,-0.06930513,-0.06930513,0.00000000,0.03001000
Be,-0.06930513,-0.06930513,0.06930513,0.03001000
Li4SiO4,0.01619487,-0.06280513,0.04619487,0.01501000
Li4SiO4,0.07719487,0.07069487,-0.00930513,0.01501000
Li4SiO4,0.06719487,0.06369487,0.02719487,0.01501000
Li4SiO4,0.02469487,-0.06180513,-0.07230513,0.01501000
Li4SiO4,0.05719487,0.00069487,-0.07630513,0.01501000
Li4SiO4,-0.06030513,0.00069487,-0.06630513,0.01501000
Li4SiO4,0.06219487,-0.01030513,-0.01680513,0.01501000
Li4SiO4,0.07569487,0.00719487,0.03519487,0.01501000
Li4SiO4,-0.02880513,0.07119487,0.02019487,0.01501000
