cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev
11,3.0981903419372134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.195669179050275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.931273051957113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.209546165970846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,270.8844715874713,0.8224543739022669,0.00023070750041042582,0.0017899403193128837,6.164879913911638e-07,0.8242443142215798,0.00023132398840181698,1.4813229494724155e-06,5.00082436042019e-10,1.5292718924078535e-05,5.283611537525335e-09,0.06617727973558347,2.2864151264981084e-05
23,27.402175285716595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,120.0736423825459,0.43393356890444856,0.0001273030510491586,0.00017918700604483754,1.6279953678993645e-07,0.4341127559104934,0.00012746585058594855,2.1403865587609737e-07,2.118194872789887e-10,8.782294500540157e-06,4.367679838493565e-09,0.038004253054532734,1.890057431267886e-05
24,10.954733651398232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.7295976832581057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.523974628331047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.5685539376314965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.324159947897964,0.12888650443739672,0.00010535822422872304,1.5278071016236754e-05,7.400722812960095e-08,0.12890178250841294,0.00010543223145685264,2.3798209161382067e-08,3.2418461754693257e-11,2.790583883620577e-06,2.001502011945094e-09,0.012075893842605058,8.661243248724957e-06
26,7.356380061589865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.7234366014372162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,7.190354445292883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,544.1661589514862,1.3852744472441123,0.0004633687756883075,0.0019844053963739582,8.532947563107012e-07,1.387258852640486,0.00046422207044461816,1.7191598145098949e-06,7.44320385075701e-10,2.6865597308239268e-05,1.1652793387963995e-08,0.11625742663272128,5.04259688263849e-05
