cell,flux,tbr,tbr_stdev,"Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","Th232(n,fis)","Th232(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.0958594743603736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.55050125950451,0.003123092325243704,0.0,0.0
21,6.190700344062284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.383444154750435,0.002452148530643777,0.0,0.0
12,30.901733832689864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.84895251353168,0.0020179584561964845,0.0,0.0
22,6.203687505263624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.745044227245707,0.002377705521256369,0.0,0.0
31,270.50968284759443,0.821866406061186,8.097007655914217e-05,0.0001523849269036403,1.7632803947079046e-08,0.6595569561062947,7.631882454036004e-05,0.8200769662303294,8.080683646155575e-05,0.0017894398308565215,1.6324009758641878e-07,0.0,0.0,1.4811438250814646e-05,1.1563979751504861e-09,519.1700988140965,0.028896562841416725,0.15236849693234455,1.2025753261427541e-05
23,27.31037567755493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.783836640093213,0.004340403877524748,0.0,0.0
32,118.71740986580157,0.42642338524529527,7.048673580423574e-05,8.577953825526312e-05,2.2687596728312126e-08,0.37127353930235246,9.819712844010433e-05,0.42624413238560616,7.040388632051843e-05,0.0001792528596890887,8.284948371730924e-08,0.0,0.0,2.140541288551137e-06,5.965985157411302e-10,165.21175469601997,0.022760598357218057,0.022330025024067515,6.207492956497339e-06
24,10.04683757999163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.755163077917003,0.002324825786581655,0.0,0.0
41,1.645311092565118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3065878597028815,0.0010398871487495684,0.0,0.0
42,13.557638157895392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.306244539219515,0.005943415311874502,0.0,0.0
25,7.523521266465192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4762457767804604,0.001278109469231405,0.0,0.0
33,30.7258010968537,0.12501702674201148,3.498936932003833e-05,2.6846169264389553e-05,1.4391370105552435e-08,0.1161963853178982,6.228915453704587e-05,0.12500184219558663,3.496774200930878e-05,1.5184546424837505e-05,2.1627310729553834e-08,0.0,0.0,2.364822523302562e-07,1.5078624481839888e-10,41.51354396578837,0.01013660522791643,0.002483122317578502,1.5657438241216859e-06
26,6.722293227476716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1923760282222884,0.001508195264919648,0.0,0.0
43,1.0867041721433943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7996454444652389,0.0008208935843794913,0.0,0.0
44,7.9775168544399095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94055122534048,0.004905449223165082,0.0,0.0
total,542.2150729951582,1.3733068180484926,0.00018644618168341625,0.00026501063442329297,5.4711770780943605e-08,1.1470268807265454,0.00023680510751751023,1.3713229408115222,0.00018617846479138296,0.0019838772369704474,2.6771689203328185e-07,0.0,0.0,1.7188461791696037e-05,1.903782735710015e-09,890.9839902226782,0.09392585092631764,0.17718164427399055,1.9798990042046567e-05
