cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev","Th232(n,g)","Th232(n,g)_stdev","U235(n,inel)","U235(n,inel)_stdev","U238(n,inel)","U238(n,inel)_stdev","Th232(n,inel)","Th232(n,inel)_stdev","U235(n,el)","U235(n,el)_stdev","U238(n,el)","U238(n,el)_stdev","Th232(n,el)","Th232(n,el)_stdev","Li6(n,el)","Li6(n,el)_stdev","Li7(n,el)","Li7(n,el)_stdev","Be9(n,el)","Be9(n,el)_stdev","Pb(n,el)","Pb(n,el)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","Pb(n,2n)","Pb(n,2n)_stdev","tot(n,fis)","tot(n,fis)_stdev","tot(n,nufis)","tot(n,nufis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.0941426356063846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.557511268941767,0.002494814174873968,0.0,0.0
21,6.186783822973036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.379106425522494,0.0025199934468895574,0.0,0.0
12,30.882672359520715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.84362230978944,0.002200327172976888,0.0,0.0
22,6.199642192182989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.74086655821506,0.002143029604103125,0.0,0.0
31,270.2881617541511,0.8207869504849474,7.045902719226122e-05,0.0,0.0,0.0015222519364739304,1.3989660251071228e-07,0.0,0.0,0.0,0.0,0.006292046919953713,2.6852825961221945e-07,0.0,0.0,0.0,0.0,0.05066485368227926,3.912310056478847e-06,1.6403898772296734,0.0001351203291921835,0.17168783120705083,1.2181944629767332e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.588655938933771,0.0006055046204138278,0.8190014348963461,7.029328745100267e-05,0.0017855155886012466,1.657397412585517e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.8838117287439,0.02749468390184945,1.518542982919714,0.00012440977480651224
23,27.273732245115376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.770960585304064,0.004015397194130022,0.0,0.0
32,118.49684077785372,0.42558743967744206,5.5925673398772e-05,0.0,0.0,0.0008560206598873743,1.4067321669339099e-07,0.0,0.0,0.0,0.0,0.0021329752527195376,2.0416123863679144e-07,0.0,0.0,0.0,0.0,0.025297291928011112,2.730436963799522e-06,0.7061602460678216,7.866267143788777e-05,0.07368729338000017,8.023029137016216e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.7050539857950406,0.0006088659849319894,0.4254084988203795,5.5839708207955854e-05,0.0001789408570625593,8.596519081614255e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.3906969876887,0.02282114050207918,0.22232932479924986,5.537094322893602e-05
24,10.014935647519751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.750143957532756,0.0021044169893880338,0.0,0.0
41,1.6402710533980291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.50156222838603,0.0020796531108392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5249669337877747,3.115007568992603e-05,0.00014761998012858036,1.1975231788683275e-08,0.0004715451633917999,3.6547096393157536e-08,1.3053434022859447,0.0009095970058004258,0.0,0.0
42,13.508833886152967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.350439140600297,0.00144022107358339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046212067579094726,1.3009980226606341e-05,2.1313469800792606e-05,5.343817437518329e-09,6.049361679163103e-05,1.6537903624980968e-08,8.299188183882427,0.0052293180762717495,0.0,0.0
25,7.50407430879488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.816987248502532,0.0009374832582649913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036458154647501066,3.340717489348001e-06,2.3533307243830766e-06,1.5722809165443902e-09,6.289644179500781e-06,4.780686191779021e-09,3.4706333434371412,0.0014734135726636247,0.0,0.0
33,30.61587719956973,0.12455669812404907,3.7290298884137245e-05,0.0,0.0,0.00026727084375008104,1.2243867628595612e-07,0.0,0.0,0.0,0.0,0.00043709783723176857,8.067244626000547e-08,0.0,0.0,0.0,0.0,0.007074998035575423,1.8843122581672275e-06,0.17756435794520228,4.4221714689956896e-05,0.01872196834118786,4.612627547637357e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.1568095857094474,0.0005299427068132159,0.12454153436343325,3.726826341562468e-05,1.5163760615817365e-05,2.203546851256596e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.460264177187135,0.010935872299112886,0.0247092258310301,1.6294833630156167e-05
26,6.6891761735039745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1857718071799983,0.0015812586576860444,0.0,0.0
43,1.0807188348634873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7975790215874956,0.0009229826055802444,0.0,0.0
44,7.934469267199469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.930988527217695,0.005517636476021392,0.0,0.0
