cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev","Th232(n,g)","Th232(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","Pb(n,2n)","Pb(n,2n)_stdev","tot(n,fis)","tot(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.077999834235701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.59234631893118,0.0026581818626238594,0.0,0.0
21,6.155054882904493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.34512341370082,0.0023886531694893016,0.0,0.0
12,30.724148743333227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.805284417577056,0.0021457712647380217,0.0,0.0
22,6.167838750029338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.70552648588032,0.0025104752969105234,0.0,0.0
31,269.6209213535805,0.8043447008515363,9.805301211852799e-05,0.0,0.0,0.011208332844130125,1.7495457710721533e-06,0.0,0.0,48.512238342151115,0.007572435849030314,0.8025948237102019,9.788934233210904e-05,0.0017498771413344935,1.6366978641894472e-07,0.0,0.0,0.0,0.0,0.0,0.0,528.7015282317935,0.030954181875927488,11.05463510896619,0.0008899572673608835
23,27.287834688719926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.143990818764863,0.0038784033805338344,0.0,0.0
32,118.84182266907233,0.4197082596700384,5.993607638743536e-05,0.0,0.0,0.00632730089550099,1.3968943929739078e-06,0.0,0.0,27.386011226977676,0.006046079704552533,0.41952758752938857,5.9847267309249176e-05,0.00018067214064980335,8.880907818618669e-08,0.0,0.0,0.0,0.0,0.0,0.0,167.3365429713533,0.023104042990345533,1.6443550807815204,0.00037976914019192026
24,10.050467239237664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.837912940036958,0.001739873021183523,0.0,0.0
41,1.6449544109004484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5141532583836559,3.1207280351160494e-05,0.001074982448066563,8.619810208693338e-08,1.3352242193691837,0.0009658002193732592,0.0,0.0
42,13.514124170089557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046650691270888736,1.2534378615130332e-05,0.0001577194015548759,3.6602497628190466e-08,8.44352510105584,0.0050204231030281325,0.0,0.0
25,7.544015041533268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037820571746929282,2.803499018123269e-06,1.7683138236121433e-05,1.0803897963591092e-08,3.5576022886124012,0.0017098296161426703,0.0,0.0
33,30.823908521413454,0.12350230714886215,2.869686824464636e-05,0.0,0.0,0.0019781361635984483,6.74466615311463e-07,0.0,0.0,8.561827559570844,0.002919246390238068,0.12348657624847029,2.8675026091220688e-05,1.5730900391860903e-05,2.184215342567305e-08,0.0,0.0,0.0,0.0,0.0,0.0,41.91043516162146,0.007968459474073505,0.1855546544341649,0.00011241986216781186
26,6.745450632537377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2512790788933064,0.0013825637045312544,0.0,0.0
43,1.0890796995625514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8214291589270895,0.0007904737369306382,0.0,0.0
44,7.982026065450852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.068078690678708,0.004390418325456286,0.0,0.0
total,541.2696467026008,1.3475552676704368,0.0001866859567506097,0.0,0.0,0.019513769903229564,3.820906779357524e-06,0.0,0.0,84.46007712869964,0.016537761943820915,1.3456089874880608,0.0001864116357325789,0.001946280182376158,2.7432101803080444e-07,0.0,0.0,0.5645860068292375,4.6545157984414094e-05,0.0012503849878575603,1.3360449767871494e-07,903.855829297196,0.09160755104128783,12.884544844181876,0.0013821462697206155
