cell,flux,tbr,tbr_stdev,"Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Th232(n,fis)","Th232(n,fis)_stdev",heat_eV_src,heat_eV_src_stdev
11,3.076775369521041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451256.5474924475,91.53762667710255
21,6.151929715759361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586619.8572815736,122.75830881830964
12,30.708044875112975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489259.9695452971,111.65383173689274
22,6.163515902240874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540434.2384974998,141.23714284530115
31,269.9769267079288,0.8020799603033052,0.00021328048507086744,0.014932738412476216,5.556808706853364e-06,64.61951024188302,0.024046376975618074,0.8003430150441736,0.0002126271654887175,0.0017369452591316377,6.533195821499625e-07,0.001417710294238552,3.679508261519636e-07,9376926.635049602,1693.682889968141
23,27.44730705950048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409991.1127021207,285.4859524069585
32,121.01816436011033,0.42950771796080883,0.00015635147484208402,0.0086849065510953,3.7127122405045466e-06,37.58281919406077,0.016066286036993827,0.42932658490110415,0.00015615589653224409,0.00018113305970467077,1.9557830983993996e-07,0.00020923257292152932,1.6454415087971112e-07,3020897.259597195,1007.3731003928893
24,11.873226098479199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78847.34290652088,118.43939542436364
41,1.1446858801829585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17400.442609495945,55.35150470867474
42,11.163211461001856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117742.61144178921,269.28158773603445
25,7.557886583085665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63191.48551955839,76.71736797595196
33,30.877097575669442,0.12310592115060913,9.285657762326089e-05,0.00262722916496405,2.713782210637328e-06,11.368997249113137,0.01174354445317302,0.12308994817261264,9.279821991503161e-05,1.5972977996494335e-05,5.835770822928572e-08,2.3636474661877785e-05,3.8748491195084365e-08,740755.4066166804,533.9646431651179
26,6.740246622461276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39904.85527485588,92.59416204979449
43,1.0879160173974658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14586.084303045867,58.432835309338294
44,7.9642864554824975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89789.9091507128,239.7079155470606
total,542.9512206839344,1.3546935994147231,0.00046248853753621237,0.026244874128535566,1.1983303157995237e-05,113.57132668505693,0.051856207465784926,1.3527595481178905,0.0004615812819359932,0.001934051296832803,9.072556002191882e-07,0.001650579341821959,5.71243468226759e-07,16037603.757988393,4898.218264761931
