cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","U238(n,fis)","U238(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.0960180593543662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.549720583673196,0.0028860120424917353,0.0,0.0
21,6.190913131565379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38430438126383,0.002431405565791459,0.0,0.0
12,30.90379919911542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.85041890459888,0.0018672585121608262,0.0,0.0
22,6.204039437860115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.74633386543722,0.0023939833396039415,0.0,0.0
31,270.51089609726273,0.8220388965224624,8.511480961706044e-05,0.0,0.0,0.0,0.0,0.820248896512225,8.495016460134726e-05,0.0017900000102374172,1.6464501571318158e-07,0.0,0.0,0.0,0.0,519.0215298735748,0.027396512448035374,0.0,0.0
23,27.309705583622563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.77779775096158,0.003912838151172643,0.0,0.0
32,118.72376240750144,0.42653126845832134,5.3832268848435595e-05,0.0,0.0,0.0,0.0,0.4263520360577359,5.375016448593339e-05,0.00017923240058544915,8.210436250220828e-08,0.0,0.0,0.0,0.0,165.18971941742112,0.021331224930020435,0.0,0.0
24,10.046749120862415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.754374482803435,0.0024491737272385335,0.0,0.0
41,1.64538651650869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3060238952376189,0.001086332956744393,0.0,0.0
42,13.554751133383213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.304264746550245,0.006429942568026651,0.0,0.0
25,7.527062047661318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.476214258765042,0.0012879842367604115,0.0,0.0
33,30.734442575353633,0.12509455534545127,3.4152148654308204e-05,0.0,0.0,0.0,0.0,0.12507937988723383,3.4130975914557805e-05,1.517545821743118e-05,2.1172739750397777e-08,0.0,0.0,0.0,0.0,41.52416192944279,0.010280018691081213,0.0,0.0
26,6.724268668010864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.192280609641054,0.001542502761628086,0.0,0.0
43,1.0867824607439185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992536312722277,0.000798560270265485,0.0,0.0
44,7.979726755445355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.943789623078341,0.0040315454430768375,0.0,0.0
total,542.2383031942514,1.3736647203262349,0.00017309922711980424,0.0,0.0,0.0,0.0,1.3716803124571948,0.00017283130500183845,0.0019844078690402973,2.6792211796578764e-07,0.0,0.0,0.0,0.0,890.8201879537214,0.09012529564409799,0.0,0.0
