cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev","Th232(n,g)","Th232(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","Pb(n,2n)","Pb(n,2n)_stdev","tot(n,fis)","tot(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.096019240995494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.549915929758086,0.0030440578376157604,0.0,0.0
21,6.1909321827398935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38420064739447,0.0024467154236862704,0.0,0.0
12,30.903895916485776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.850265658707634,0.0018839728741882895,0.0,0.0
22,6.204067371823337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.74638690298542,0.002340862893714613,0.0,0.0
31,270.5118676723074,0.8220363651448811,8.115679608608409e-05,1.1717241577531594e-05,1.4349316727172746e-09,0.0,0.0,0.05202337991895673,6.370953015994823e-06,0.0,0.0,0.8202464100309192,8.099323037069626e-05,0.0017899551139618558,1.635657153878274e-07,0.0,0.0,0.0,0.0,0.0,0.0,519.0888273212229,0.027724370676636023,0.06506285527735652,5.1284741327687754e-06
23,27.309309394301543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.778606427806345,0.003896214812909594,0.0,0.0
32,118.72199497648002,0.4265254918278964,5.398594547268934e-05,6.73412155342427e-06,1.7489686244481886e-09,0.0,0.0,0.029898825732671143,7.765245652225516e-06,0.0,0.0,0.42634625537727827,5.390384374734132e-05,0.00017923645061810323,8.210172534802786e-08,0.0,0.0,0.0,0.0,0.0,0.0,165.20274144816224,0.020823696545361012,0.012632481724810405,2.6023381056607006e-06
24,10.047289653316257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.754869385554267,0.0024305315741274956,0.0,0.0
41,1.6454557870726336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526355558858286,3.2244004903422806e-05,6.0111524709898375e-06,4.650183701551543e-10,1.3064262057089193,0.0011670885157897173,0.0,0.0
42,13.556171479411367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04630168883386333,1.3168849144665974e-05,1.1521754736321026e-06,2.3029263843631252e-10,8.30600444513366,0.006225538090342893,0.0,0.0
25,7.52679641806822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003650566534312161,3.358310854907156e-06,1.8609208971374003e-07,5.876948513980006e-11,3.476452308194167,0.0013132170765501516,0.0,0.0
33,30.732687390670502,0.12508812260061652,3.261861612181038e-05,2.1519568333683635e-06,1.2467330084621547e-09,0.0,0.0,0.009554472967954438,5.535369782005818e-06,0.0,0.0,0.12507294682840053,3.259758129154348e-05,1.5175772215990825e-05,2.1034830266906985e-08,0.0,0.0,0.0,0.0,0.0,0.0,41.5247145831589,0.009719966536474294,0.0020500441722485314,6.386938867224705e-07
26,6.724170499124154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1925177622015326,0.0015861279813305937,0.0,0.0
43,1.0867317549584385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992766529997993,0.00082845360751973,0.0,0.0
44,7.978936860853803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944453835864197,0.004301720208099371,0.0,0.0
total,542.2363265986089,1.3736499795733939,0.00016776135768058382,2.0603319964324227e-05,4.430633305627618e-09,0.0,0.0,0.09147667861958231,1.9671568450226156e-05,0.0,0.0,1.371665612236598,0.00016749465540958106,0.00198436733679595,2.6670227100276223e-07,0.0,0.0,0.5763078142264615,4.877116490299593e-05,7.34942003433568e-06,7.540804937312668e-10,890.9056595148526,0.08973253465434579,0.07974538117441546,8.369506125151947e-06
