cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","tot(n,fis)","tot(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.096153119459446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.551905046117618,0.0028229184031981647,0.0,0.0
21,6.191127948942527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3839022764029,0.002564800889080602,0.0,0.0
12,30.904133347298703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.84955795541017,0.001986518811010483,0.0,0.0
22,6.204269744278819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.74575509489492,0.00239321966476438,0.0,0.0
31,270.5281519080579,0.8219186177144752,8.497920521130159e-05,0.00011715587335750418,1.5058668150894194e-08,0.5201603525100817,6.685897948794339e-05,0.8201291258222758,8.48112640145104e-05,0.0017894918921993873,1.6794119679119156e-07,0.0,0.0,0.0,0.0,519.676377283491,0.030280786418903645,0.6503689143597939,5.130272827676391e-05
23,27.31369467194816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.785419819372144,0.003769304178858561,0.0,0.0
32,118.73943267686967,0.42651712963570054,4.978114955361486e-05,6.731453251810389e-05,1.595654727874668e-08,0.29886978740554543,7.084547295404565e-05,0.4263378706823213,4.969842896856904e-05,0.00017925895337922974,8.272058504581667e-08,0.0,0.0,0.0,0.0,165.33926534465127,0.01786521592908345,0.12629953170732308,2.443055246522889e-05
24,10.048153917194819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7553792301707754,0.002435414036278605,0.0,0.0
41,1.64546842975938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.008773589297982e-05,4.571970194156295e-09,1.3073005178907922,0.0009440770511626197,0.0,0.0
42,13.558254794111916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1519498892376356e-05,2.21722547144399e-09,8.312919895292161,0.005451132704631449,0.0,0.0
25,7.527977942340905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8610573156251663e-06,5.768793089104792e-10,3.477499832356575,0.0011886156937164678,0.0,0.0
33,30.737145432051097,0.12509169533049325,3.0947300084935335e-05,2.151084527545951e-05,1.3335309692090222e-08,0.09550600017405061,5.9207440408060915e-05,0.12507650946218232,3.092546409538337e-05,1.5185868310929619e-05,2.183598955196549e-08,0.0,0.0,0.0,0.0,41.55169829855825,0.008879383036450172,0.020501879759985523,5.961725286197751e-06
26,6.724009696724383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1938110074099666,0.0014667668018672213,0.0,0.0
43,1.0867945089314652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7994665733279541,0.0008446396457902787,0.0,0.0
44,7.979230326114669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.944620149853069,0.0037703263666314757,0.0,0.0
total,542.2839984640839,1.373527442680669,0.00016570765484985177,0.0002059812511510676,4.43505251217311e-08,0.9145361400896779,0.00019691189285004994,1.3715435059667795,0.00016543515707846283,0.001983936713889547,2.7249777138897373e-07,0.0,0.0,7.346829210098134e-05,7.366074974510764e-09,891.6748783251995,0.08666311963142756,0.7971703258271026,8.169500602819056e-05
