cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","U238(n,fis)","U238(n,fis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.094346150347619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.466577085379555,0.08498631370329267,0.0,0.0
21,6.174170077073641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.14544091463714,0.10914329757978851,0.0,0.0
12,30.801230383601688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.67992629941288,0.08277818619186011,0.0,0.0
22,6.193134841034885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.611279458672826,0.08277556097517501,0.0,0.0
31,270.74670819426115,0.8202388455889347,0.002016905020848829,0.0011698208090795768,3.891996187558783e-06,5.193887314275958,0.017280073553894926,0.8184540588379646,0.002010261430465885,0.001784786750970037,6.643590382944253e-06,0.0005365334889531777,1.7433541987918388e-06,525.8505837088718,0.7722250552794894,6.4978065689841635,0.018601410155422507
23,27.365147102918566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.884802376234045,0.1648275925306136,0.0,0.0
32,118.6665667603746,0.4249501628199555,0.001796726093252834,0.0006727160409274775,4.783190733532643e-06,2.98679189493328,0.021236888145462582,0.4247688019649539,0.0017939359545441757,0.00018136085500159503,2.790138708658298e-06,8.510377274127151e-05,7.251239054090062e-07,166.61543979631114,0.6807328792159468,1.2683201919174512,0.00833156301098581
24,10.174724672539712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.834326690856492,0.0917996153968862,0.0,0.0
41,1.6615282461720196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.383936831814108,0.055684507276969726,0.0,0.0
42,13.52870117853643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.433684016720026,0.16111978057971418,0.0,0.0
25,7.537627081138596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.543756225568944,0.05552924446896929,0.0,0.0
33,30.735399040653242,0.12462235634906632,0.0010084481167213163,0.0002108964084748996,2.825951802137403e-06,0.9363589466885859,0.012546943174506563,0.12460716176626346,0.001007722639339266,1.5194582802859762e-05,7.254773820502908e-07,9.873649132819215e-06,2.2540238435356925e-07,41.67660836200024,0.31951798177016316,0.2047160649220914,0.0026590297834837183
26,6.681551283016389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1948811300801663,0.05595874803172582,0.0,0.0
43,1.07921648765622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7891889702866682,0.022524340831846745,0.0,0.0
44,7.953235773113621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.888218285702369,0.10235032739439523,0.0,0.0
total,542.3932872724384,1.3698113647579564,0.00482207923082298,0.002053433258481954,1.150113872322883e-05,9.117038155897824,0.05106390487386407,1.367830022569182,0.004811920024349327,0.001981342188774492,1.0159206473652842e-05,0.0006315109108272684,2.693880488554414e-06,898.9986501525483,2.8419534312268366,7.970842825823706,0.029592002949892036
