cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr
11,3.096583121155115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.1897807273834164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.8945674380794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.201138009899315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,271.9917170303225,0.8037650481100144,0.0005124273830725534,0.001728512161484687,1.226576311744232e-06,0.8054935602714991,0.0005136539593842976,0.001728512161484687,0.006281999409801148,0.014220337611531828,1.3509173655395016e-05,63.124361561116274
23,27.631080154098083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,121.35403562211107,0.4271835138237421,0.00047964629036371085,0.0001822063224773474,3.715890534205931e-07,0.42736572014621943,0.00048001787941713146,0.0001822063224773474,0.0010155344269875762,0.00830568665080816,1.2356997630440096e-05,36.8691082786799
24,10.995891234631475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.7351607505040636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.549807905776618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.652523172937521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,31.24363140601315,0.12405885542026393,0.0001773069930521002,1.634179840791223e-05,1.357970363439845e-07,0.12407519721867184,0.00017744279008844417,1.634179840791223e-05,0.0001222869376678495,0.002570596232524436,6.036153015537979e-06,11.410927816364007
26,6.835308777401721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.104121844912422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8.00163563756235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,547.4769828327882,1.3550074173540205,0.0011693806664883643,0.0019270602823699466,1.7339624015088094e-06,1.3569344776363903,0.0011711146288898733,0.0019270602823699466,0.007419820774456573,0.025096620494864424,3.190232430137309e-05,111.40439765616019
