cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev","Th232(n,g)","Th232(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","Pb(n,2n)","Pb(n,2n)_stdev","tot(n,fis)","tot(n,fis)_stdev","tot(n,nufis)","tot(n,nufis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.088003599757613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.974270237839942,0.0028301931268215797,0.0,0.0
21,6.175804213346777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38572359442061,0.002230028266060547,0.0,0.0
12,30.831382519349066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.828095092288926,0.002106985432343182,0.0,0.0
22,6.190637875685358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.752178547274752,0.0020976897279376596,0.0,0.0
31,272.63854051576305,0.783881712670823,9.014339724031033e-05,0.028233351041633083,4.65463778648133e-06,0.0,0.0,125.3532529738602,0.020666125926394222,0.0,0.0,0.7822098252756636,8.999481983499799e-05,0.0016718873951593453,1.4857740531234288e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.4061523426916,0.04209041029762339,147.693776754086,0.014266920097618601
23,27.796012789882116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.21894020369605,0.005420744896049883,0.0,0.0
32,121.71724074418711,0.41515884917282325,6.4729262329345e-05,0.016339515079535686,3.413767277447508e-06,0.0,0.0,72.54581166135519,0.015156785055119377,0.0,0.0,0.41497476296921604,6.463540240884853e-05,0.00018408620360722922,9.385992049646734e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.14005368472462,0.027893882245881844,30.113030407665363,0.00583731592598774
24,10.303370465239546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.107977552085175,0.002423667546309247,0.0,0.0
41,1.6833592119953134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4894552281670528,3.045646189283868e-05,0.013654509310818347,1.2981752558043747e-06,0.04685830273212131,4.147523932394339e-06,1.426450414055584,0.0009815232802400826,0.0,0.0
42,13.761428697394106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04725532106198001,1.621389994130342e-05,0.0027491631086973946,5.003999536413782e-07,0.008186503393898205,1.69633227844697e-06,8.962105996852177,0.006587038387340418,0.0,0.0
25,7.765269062589295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004046710856162528,4.448906159497439e-06,0.00046184018038735076,1.782679983562713e-07,0.001266261209719829,5.701920067897617e-07,3.815244567277543,0.001494215073327073,0.0,0.0
33,31.860911241424915,0.12359714061931308,3.5854658463973944e-05,0.0051973775195405325,2.403357208127986e-06,0.0,0.0,23.075836022684665,0.010670665471228162,0.0,0.0,0.1235801444960974,3.5827152893190466e-05,1.699612321568278e-05,2.7505570783475916e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.04972872418619,0.012928707145990773,5.083615683227541,0.0020880177159117064
26,6.9954551306147925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4543074296675464,0.0021083371342856226,0.0,0.0
43,1.1279887913363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895181331706609,0.0009386360057323682,0.0,0.0
44,8.21662343405757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.468120431639948,0.004714237885179045,0.0,0.0
total,550.152028292623,1.3226377024629592,0.00019072731803362926,0.049770243640709304,1.0471762272056825e-05,0.0,0.0,220.97490065790004,0.04649357645274176,0.0,0.0,1.320764732740977,0.000190457375137037,0.0018729697219822571,2.6994289659228616e-07,0.0,0.0,0.5407572600851953,5.111926799363954e-05,0.016865512599903095,1.976843207802024e-06,0.056311067335739345,6.414048217631071e-06,1082.8845301504075,0.11684629645112271,182.8904228449789,0.022192253739518046
