cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev
11,3.083657932290663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.169326904691745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,30.799675497139386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.185612388198489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,275.41528612203183,0.7395535288422179,8.536812828846817e-05,0.0015452589617599023,1.511663591488567e-07,0.7410987878039779,8.551929464761703e-05,0.02435745778398037,1.9714613346966035e-06,0.0603029433541535,8.553406620043654e-06,267.68596523335646,0.03796874215032926
23,28.443766323676556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,126.48342193471528,0.4066327568142881,4.988556896749301e-05,0.00018678643887572893,7.326081857397589e-08,0.40681954325316383,4.9958829786066985e-05,0.0042462932110884175,1.1566169647262014e-06,0.0360289614656031,5.4821880180480015e-06,159.93327671643556,0.024335541676355717
24,11.55003206796547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.8195812887658607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12.978737006603728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,8.047085762982432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33.23532738803456,0.12145589124968273,3.1678924876128954e-05,1.8836881197531235e-05,2.1199596967531565e-08,0.12147472813088026,3.170012447309649e-05,0.0005491493666219007,3.485551999478077e-07,0.011385022768532791,3.840893566136292e-06,50.538342566466596,0.017049802951931127
26,7.327407142514859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.1767801623035674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8.459208911962174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,561.1749068338765,1.267642176906189,0.00016693262213209015,0.0017508822818331625,2.4562677469036415e-07,1.269393059188022,0.00016717824890678053,0.02915290036169069,3.4766334993706124e-06,0.1077169275882894,1.787648820422795e-05,478.1575845162586,0.0793540867786161
