cell,flux,tbr,tbr_stdev,"U238(n,g)","U238(n,g)_stdev","Th232(n,g)","Th232(n,g)_stdev","U235(n,inel)","U235(n,inel)_stdev","U238(n,inel)","U238(n,inel)_stdev","Th232(n,inel)","Th232(n,inel)_stdev","U235(n,el)","U235(n,el)_stdev","U238(n,el)","U238(n,el)_stdev","Th232(n,el)","Th232(n,el)_stdev","Li6(n,el)","Li6(n,el)_stdev","Li7(n,el)","Li7(n,el)_stdev","Be9(n,el)","Be9(n,el)_stdev","Pb(n,el)","Pb(n,el)_stdev",Pu239_kg/yr,Pu239_kg/yr_stdev,U233_kg/yr,U233_kg/yr_stdev,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev","Be9(n,2n)","Be9(n,2n)_stdev","Pb(n,2n)","Pb(n,2n)_stdev","tot(n,fis)","tot(n,fis)_stdev","tot(n,nufis)","tot(n,nufis)_stdev",heating [MW],heating_stdev,fisq [MW],fisq_stdev
11,3.095863800380912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.550722099580895,0.0030228960319475563,0.0,0.0
21,6.190518464411761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38300492926865,0.0024970773635590274,0.0,0.0
12,30.901074327530527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.849178153958864,0.002013784539234145,0.0,0.0
22,6.20347228607953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.74541924618104,0.0023441211714792186,0.0,0.0
31,270.549062108917,0.8215330697734512,8.496433681700032e-05,0.0,0.0,0.00015231442962094976,1.9280869005172897e-08,0.0,0.0,0.0,0.0,0.0006322301548287209,2.5930157839456163e-08,0.0,0.0,0.0,0.0,0.005076572844352945,4.7053307687562593e-07,1.6452975649581845,0.00012967883926139932,0.17215409291528563,1.3439273100405071e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6592518276783725,8.345202856039332e-05,0.8197439263967872,8.480380435713391e-05,0.0017891433766640292,1.6053245986640692e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.0142499057039,0.02815823893277833,0.15233406236176783,1.161529474715685e-05
23,27.321212126861933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.801995387123533,0.00457078983093557,0.0,0.0
32,118.79602209859395,0.42644957577858067,7.617878418571943e-05,0.0,0.0,8.57815564091516e-05,2.310672723390373e-08,0.0,0.0,0.0,0.0,0.00021486530781745136,2.0208291542609787e-08,0.0,0.0,0.0,0.0,0.002538388509003112,4.259689613720457e-07,0.7096480771524404,8.285595415281026e-05,0.07401141855926938,9.132808713202941e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.37128227433581473,0.00010001122151411352,0.42627015756856873,7.609515106149297e-05,0.00017941821001193233,8.36331242264645e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.24687588394872,0.023476387459327563,0.022346626240712417,6.233041330568089e-06
24,10.057167028650035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.759435023532485,0.002241044638088172,0.0,0.0
41,1.6471160865708157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.59890950779218,0.0024530188992214776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5261232901173583,3.177115162243829e-05,1.48081290146648e-05,1.1195244885212761e-09,4.728906170216395e-05,3.4751552966568635e-09,1.3076775255957318,0.0010142613154430124,0.0,0.0
42,13.573165036558652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.427263629256334,0.0020867293199589797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046352046310748324,1.3082881816360677e-05,2.142143591283312e-06,5.990224651051896e-10,6.077407580968179e-06,1.782141122646902e-09,8.312941768552617,0.006212770946883616,0.0,0.0
25,7.531188741653634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.851460701784806,0.0010416122548233579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036599253227540046,3.270004692845849e-06,2.3686150265167246e-07,1.4886991917522695e-10,6.327675387961977e-07,4.4508728952526056e-10,3.4806745711079983,0.0012476629772947235,0.0,0.0
33,30.764364028817774,0.12510013641015674,3.9141226009500086e-05,0.0,0.0,2.6870154190008694e-05,1.514077627591539e-08,0.0,0.0,0.0,0.0,4.4160805888652405e-05,7.82559403873287e-09,0.0,0.0,0.0,0.0,0.0007116405661967717,2.167997232738429e-07,0.17894959511653505,3.9642883161811e-05,0.018853396169536372,4.12300642582144e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.11630019758368614,6.55327565300725e-05,0.1250849235473583,3.912006690866994e-05,1.5212862798425686e-05,2.1159100830141714e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.544870618398896,0.011443477880937747,0.0024870896035764757,1.5475545215964644e-06
26,6.731736798830646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.196592557225671,0.0016521872291695096,0.0,0.0
43,1.0882801462675884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.800784355189667,0.0007944237885687434,0.0,0.0
44,7.989961115758154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.947340725963762,0.005311567696925521,0.0,0.0
