cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"Th232(n,fis)","Th232(n,fis)_stdev","Th232(n,g)","Th232(n,g)_stdev",U233_kg/yr
11,3.2020341726171915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.40369283222897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,31.985195636476647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.426525651820548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,274.29698326130017,0.8955335122084025,0.00026821223749686927,0.001791938714135961,6.944027961758914e-07,0.8973254509225385,0.00026890664029304516,0.001791938714135961,5.5241495962289706e-05,0.0004578915439073388,1.795472989246697e-07,1.9814669281603898
23,27.044110701733757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,111.86080537948519,0.4077254512080731,0.00015401952111630032,0.00015050619954164673,1.3336562761641195e-07,0.40787595740761473,0.00015415288674391672,0.00015050619954164673,7.530011178120217e-06,0.00021819480562653904,8.049403192410324e-08,0.9442100361933378
24,6.1266675034662255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.097594835131764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,25.511257037094936,0.09890436803083373,7.772658808525525e-05,1.0870812511227939e-05,6.584223036241606e-08,0.09891523884334495,7.779243031561767e-05,1.0870812511227939e-05,7.867638551216165e-07,5.426680920255773e-05,4.2935634659327115e-08,0.234832656690026
26,2.909189951509981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,502.86405696286533,1.4021633314473092,0.0004999583466984249,0.001953315726188836,8.936106541547194e-07,1.404116647173498,0.0005008519573525796,0.001953315726188836,6.355827099553153e-05,0.0007303531587364356,3.029769655081e-07,3.1605096210437535
