cell,flux,"Li6(n,t)","Li6(n,t)_stdev","Li7(n,t)","Li7(n,t)_stdev",tbr,tbr_stdev,"U238(n,fis)","U238(n,fis)_stdev","U238(n,g)","U238(n,g)_stdev",Pu239_kg/yr
11,3.201820394702318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,6.403969858204396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,31.989182965380962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,6.428114853967395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,274.4035828582217,0.8956005801718006,0.00015577842686748133,0.001793001653480492,7.00841520761778e-07,0.8973935818252811,0.0001564792683882431,0.001793001653480492,4.1044227131917734e-05,6.922161822917882e-05,2.1799930955135667e-08,0.30727614043430207
23,27.071513163941738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,111.98923612267751,0.4080396692981756,0.0001705922323992841,0.00015063919425916688,1.2846866018904502e-07,0.40819030849243476,0.00017072070105947313,0.00015063919425916688,6.172860270740001e-06,3.3243853522177774e-05,1.857083230838739e-08,0.1475701271478242
24,6.136800617375409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,7.103778539202786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,25.547786504790224,0.09893908742769479,0.00010392749221415353,1.087641378050751e-05,6.544167438569811e-08,0.0989499638414753,0.00010399293388853923,1.087641378050751e-05,6.869472392758683e-07,8.30403169847002e-06,1.3372576642744168e-08,0.03686176191232678
26,2.9176316332514842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,503.1934175117159,1.402579336897671,0.0004302981514809189,0.0019545172615201664,8.947518553365212e-07,1.4045338541591912,0.00043119290333625546,0.0019545172615201664,4.79040346419336e-05,0.00011076950344982661,5.3743339906267224e-08,0.491708029494453
