x,y,z
1.564019235227459559e-01,7.116134702358145603e-02,3.813834271947685011e+02
-1.206010540985628376e-01,-2.384004526626684606e-01,3.696291586927383150e+02
2.296204160866417432e-01,-1.768642718613273601e-01,3.960138522599123689e+02
1.975695278930883481e-02,-4.218501772732896615e-02,4.050675812074478017e+02
8.386887435805617796e-02,-2.335563318778204611e-01,3.685197149189397123e+02
1.662427130343313575e-01,2.429340040506103859e-01,3.685493342773167456e+02
-3.466810970162159666e-02,-1.644379649050662917e-01,3.899689746214291404e+02
1.062603983108230121e-01,-2.646468745869008377e-01,4.078756687395763834e+02
-8.085649113428738932e-03,1.247120987010341686e-02,3.794380323240911252e+02
2.328813577541000157e-02,7.740019580671109178e-03,3.806647503233091356e+02
-1.635900900429482219e-02,1.560615755770951019e-01,4.088103871583704745e+02
5.730767015842869183e-02,1.915077843702535088e-01,3.657686320716160822e+02
2.579176634263520285e-01,1.121726709080445028e-01,3.971999755625034254e+02
3.518989936187211232e-02,-2.197160431764266786e-02,3.959443493883539986e+02
1.972960234981825378e-01,-1.165632214916148546e-01,4.018716724097803308e+02
-1.817534470669091295e-01,2.457275555371184472e-01,3.999882718215629893e+02
1.224828615583621882e-01,-1.525511878350846728e-01,3.883204285245993788e+02
7.292561898981536617e-02,-1.638765172396557390e-01,3.728878814858688884e+02
2.872536062554005287e-01,5.181440836893452806e-02,3.951236548401842015e+02
2.753396452227396818e-01,2.150330556149896433e-01,4.083057398119971140e+02
2.600479299673795763e-01,2.682000306864488204e-01,3.767210052587643645e+02
-2.311437704750095024e-01,-1.347836451145918157e-01,3.846219822664682511e+02
-6.975409035090807119e-03,1.112769402451893042e-01,3.769097549160296694e+02
2.484621884043791695e-02,1.092892679277584489e-01,4.049830209741385261e+02
1.789831597282497411e-01,-4.972155547171974721e-02,3.855067195901290802e+02
2.241082670725536019e-01,-2.301289106144710217e-01,4.048535921236592685e+02
-1.951635807986870641e-01,2.709201887217788096e-02,3.834953868476611660e+02
1.848712355587642797e-01,6.683510890364691148e-02,3.925384218740435358e+02
-6.627761636695916891e-02,-1.510416150713789485e-01,3.910637278502183563e+02
-2.317357931659025372e-01,-2.517682979727916548e-01,3.816650497551160583e+02
-1.573652360982472909e-01,1.189079246746073681e-01,3.682859754155090855e+02
1.448194449599705669e-01,-1.786195279862841934e-01,3.828057190744978016e+02
-2.698185731501087647e-01,2.981033723766214338e-01,4.070375625658642207e+02
8.754935162065802245e-02,-9.658827672361047778e-02,3.760058948596899882e+02
-1.134567736157042206e-01,2.169929152325558164e-01,3.801361169970998617e+02
-9.934052608436666487e-02,-1.572493726541070169e-01,4.043539716123458447e+02
2.387720765078958918e-01,-1.837597319851455024e-01,4.036890189612278164e+02
-3.620348175900733878e-02,4.676902343529737438e-02,4.022389606414495802e+02
5.798353198933320352e-02,1.128932913169696794e-01,3.797913233334186316e+02
-1.532018627492248153e-01,-1.987406624314296266e-01,4.070936156713444234e+02
-7.644444911525383191e-06,1.770945742602151318e-01,3.750107063619111045e+02
-8.169798482144213780e-02,-2.029845204425236582e-01,4.011900059541786732e+02
-6.448087183567685621e-02,-2.061403104496519756e-01,3.867409953853421030e+02
1.725514009932429538e-01,8.580601580977204046e-02,3.936086326498402173e+02
1.956531820553873979e-01,-1.401265408910168653e-01,3.998577512220855397e+02
2.656460320891596005e-02,5.845528767904345502e-02,4.065078938230884660e+02
-8.972145751850679751e-02,2.379795802557497231e-01,4.060882623941160432e+02
-1.959766457247122118e-01,-1.161470533702502195e-02,3.701826098777626726e+02
1.656304305410727373e-01,-6.739028210088759963e-02,3.901755420119843052e+02
-1.232961261691526422e-01,2.544608180042001733e-01,3.923213691795987188e+02
-1.915402136772073882e-01,-1.064447894937226580e-01,3.806206270896944943e+02
-1.397569550722962406e-01,-2.918913759392428586e-01,4.006598798402765169e+02
-2.514632846276493305e-02,-1.733385826705684807e-01,3.732791888376421525e+02
1.176849561338951800e-01,-1.260691077823521133e-01,3.805137946182863971e+02
2.022288474317294193e-01,2.063283958142724250e-01,3.759764999081366454e+02
1.460084373826248116e-01,-1.805943477998444291e-01,3.691560106570228186e+02
-2.255287804367523963e-01,-1.696009511358911037e-01,4.054000147380997987e+02
-2.874398152554814567e-01,-1.412634446631261254e-02,3.892521868066861543e+02
