x,y,z
-2.806573490462793696e-01,2.005860937519288179e-01,4.087105537098004220e+02
1.122324603671415733e-01,-2.474614978770865448e-01,3.710236204438149343e+02
2.988817375174532831e-01,-3.148210376425131241e-02,4.006685698046368884e+02
1.294998663435267816e-01,-2.231366794980610690e-01,3.668104212258738244e+02
-2.646417621792930275e-01,-8.610022244589560225e-02,4.085851445008261749e+02
-7.057011098387055981e-02,1.709338490893166362e-01,3.734042008023371864e+02
-2.508609656296950097e-01,1.813029941516555166e-01,4.070562169601189453e+02
2.021792364862897706e-01,-2.421273498059338947e-01,3.759627787136719803e+02
-1.486258511942389893e-02,-1.928436872225129106e-01,3.679769438309528482e+02
2.492280738914974814e-01,6.490703790428353770e-02,3.861203197546954584e+02
3.926398450378226768e-02,-2.062535225959921115e-01,3.899755501090624534e+02
-6.177790966118490434e-02,-8.553583143801840594e-02,4.039949950400661010e+02
1.835316198707706015e-01,-2.571813191201110516e-01,3.722849317612090658e+02
-5.735917190413547528e-02,-4.448759001007740466e-02,4.098245831125304903e+02
2.532361127838852477e-01,2.005094111063471241e-02,3.650736381710113392e+02
2.332077926984830185e-01,3.528161475795121849e-02,3.970048545252469694e+02
2.383520409030790432e-01,1.244259627161591886e-01,3.721786799963408612e+02
2.619219539666988172e-01,-2.514389879322869725e-01,4.073292341009468487e+02
-8.625693738090878249e-02,-4.981220194042479399e-02,3.769415242479517474e+02
-2.379001307261610632e-01,2.360238604329285561e-01,3.672226637379743579e+02
1.589057359304968386e-01,2.310589361232677774e-01,3.877835232973404800e+02
2.048556496110759406e-01,8.748692969286503418e-02,3.929582037599662954e+02
6.571021436926460790e-02,-1.796969082973243481e-01,3.666361921288644226e+02
-8.115110179488294051e-03,2.299881247641072379e-01,3.684568359619121338e+02
-4.344678677161895042e-02,2.395455585735918325e-01,3.781637147148192639e+02
2.699008385703530744e-01,-1.968485868833031172e-01,3.839429565204066535e+02
-5.795893043929678523e-02,-8.806879445335963341e-02,3.847732478855609770e+02
-8.687023811937727436e-02,7.021544076366781351e-02,4.004616497567962483e+02
-1.355899667021804866e-01,-1.623763553003718940e-01,3.701455197708598917e+02
8.773388011842009337e-02,1.158388101918594315e-01,4.073546750095586049e+02
2.525804984866707459e-01,-6.000411621486151370e-02,4.013640907308011379e+02
-3.403618636644312190e-02,2.369507038265353804e-01,3.797454000333297586e+02
1.124099912232667808e-03,-4.046975080430192939e-02,3.685437849279358034e+02
-1.750880065927748475e-01,-3.259166796525658771e-02,3.892757871681525899e+02
9.875023035180952036e-02,-1.761176063418060656e-01,4.007964382793861660e+02
-2.845372695233883142e-03,2.463196455260596718e-01,4.084903531536580203e+02
-2.029667457688968668e-01,-1.409196324518151855e-01,3.750440000703787291e+02
-1.039562300126176120e-01,-1.098325325204060343e-01,3.700777840369846672e+02
-1.626721771476380418e-03,-2.780241712750919358e-02,3.791934472927300703e+02
-2.652343804046858322e-02,-2.429795559631601209e-01,3.827228310168270582e+02
-1.940621050378825430e-01,-2.620125732376361594e-01,3.712853987318929967e+02
1.885240965934489310e-01,1.655264825690405672e-01,3.963958956768817075e+02
1.328220110144573973e-01,-1.003244949441181588e-01,3.765505691296941109e+02
-3.315440751999826352e-02,2.183164347537157601e-01,3.688295282514327482e+02
7.093352434740407553e-03,-2.568584057409245558e-02,3.738411521614125945e+02
1.719104161646092255e-01,1.449416588131590133e-01,4.060225554194505548e+02
1.326704493501395521e-01,3.862975399038837132e-02,3.737682365915051150e+02
-2.556536334004728683e-01,-1.979051828617113540e-01,4.042165927344596525e+02
7.425034906437993909e-02,-1.517204673181940522e-01,3.851799224887388391e+02
2.775205031722454141e-01,7.618367115280405555e-02,3.933959984813446908e+02
-4.649336617514704395e-02,2.593659635234127903e-01,3.960859446600621254e+02
-1.921981068760917899e-01,4.811626782140987491e-02,3.963037995659489638e+02
1.227302291854743821e-01,1.205576784020594983e-01,3.930300256025563499e+02
1.958419493321804650e-01,4.200730001124119983e-02,3.962762653782139068e+02
-8.398453402509287180e-02,2.869143745779250132e-01,4.018525829350662661e+02
2.096149163607702315e-02,7.570778349807183449e-03,3.783532798452802126e+02
