x,y,z
-2.257134254551105279e-01,1.081281147514353558e-01,8.682921780933265836e+02
-5.311002934423018074e-01,3.901109202288123301e-01,8.414529753031405335e+02
6.068291409520382151e-01,-1.661343613396937258e-02,9.010305958180324524e+02
6.102987168792955996e-01,-3.012434903445002088e-01,9.068088807548284649e+02
-1.882851826231124459e-01,-2.788283587440028022e-01,8.923555210180957147e+02
6.098435253348866159e-02,2.162021682316720428e-01,9.015870135010673039e+02
-5.750643315916981191e-02,6.175139840145656978e-01,8.612071465724294512e+02
-8.659614446108454544e-02,4.413847314211950534e-01,8.662952844423425631e+02
3.279500461819973012e-02,-7.193735472640572226e-03,8.442081104451211786e+02
-5.542140603009171329e-02,-5.835737744897151469e-02,8.416001956060598559e+02
-2.266910365395139459e-01,1.166466804057413320e-01,9.041176403314561867e+02
6.255445946553713776e-01,-8.447186994510769154e-02,8.677107375530034687e+02
4.376228595535346377e-01,-4.989039998787387908e-01,8.980837121542563182e+02
6.715026157058953116e-01,3.606834357514291378e-01,8.873702469442534948e+02
-4.952179719094004784e-01,-6.109471535638949513e-01,8.328275691400963296e+02
2.471695501012015628e-01,-4.042910031719965658e-01,8.695316748244908922e+02
-1.649824056314103116e-01,3.165278815075364127e-01,8.620438867986077867e+02
2.736739005403243663e-02,6.385429187517565053e-01,8.947325849598829564e+02
-4.681760734389662781e-01,-4.854942182211862134e-01,8.415783809253736081e+02
3.225790489555605545e-01,-2.934240089443307387e-01,8.457279375067467981e+02
-3.304719086565556796e-01,-5.904323607076230607e-01,8.356273443383978474e+02
4.584072086502580801e-01,-2.740273739241461115e-03,8.418681215889347413e+02
-4.743933062684738133e-01,1.674384000917824578e-01,8.580274962741755189e+02
-3.894751250587714653e-01,-3.011873734507382605e-01,9.019396824517731375e+02
-1.014264111219658204e-01,-3.772906780536773863e-01,8.591801534410548129e+02
6.209124267223468108e-01,5.341436178940260904e-01,8.838563982196845927e+02
5.647774494842346948e-01,1.007257602145822384e-01,8.867664017692346761e+02
1.528217604271471242e-01,-3.991986735890957205e-01,8.879228084195525526e+02
-6.576544664399621709e-01,5.615975218220651266e-01,8.516661171256639591e+02
6.486243562908914351e-01,2.000584368509182864e-01,8.435833907850075093e+02
3.222152507322907367e-01,5.257105914319778472e-01,8.556605684131149019e+02
-6.298301930268712656e-01,2.550921103075279861e-01,8.604875719941555872e+02
1.614235154026887331e-01,-9.426241331537033030e-02,8.473259140305149231e+02
-9.021113483569143110e-02,3.310818377849578109e-02,8.879161247644891546e+02
